game_id,game_date,is_home_game,shots_this_game_O3.5,shots_this_game_O2.5,shots_this_game_O1.5,shots_this_game_U1.5,shots_this_game_U2.5,shots_this_game_U3.5,shots_this_game_total,primary_position,days_old,assists-1-games_back,evenTimeOnIce-1-games_back,goals-1-games_back,penaltyMinutes-1-games_back,powerPlayTimeOnIce-1-games_back,shots-1-games_back,timeOnIce-1-games_back,assists-2-games_back,evenTimeOnIce-2-games_back,goals-2-games_back,penaltyMinutes-2-games_back,powerPlayTimeOnIce-2-games_back,shots-2-games_back,timeOnIce-2-games_back,assists-3-games_back,evenTimeOnIce-3-games_back,goals-3-games_back,penaltyMinutes-3-games_back,powerPlayTimeOnIce-3-games_back,shots-3-games_back,timeOnIce-3-games_back,assists-4-games_back,evenTimeOnIce-4-games_back,goals-4-games_back,penaltyMinutes-4-games_back,powerPlayTimeOnIce-4-games_back,shots-4-games_back,timeOnIce-4-games_back,assists-5-games_back,evenTimeOnIce-5-games_back,goals-5-games_back,penaltyMinutes-5-games_back,powerPlayTimeOnIce-5-games_back,shots-5-games_back,timeOnIce-5-games_back,assists-6-games_back,evenTimeOnIce-6-games_back,goals-6-games_back,penaltyMinutes-6-games_back,powerPlayTimeOnIce-6-games_back,shots-6-games_back,timeOnIce-6-games_back,assists-7-games_back,evenTimeOnIce-7-games_back,goals-7-games_back,penaltyMinutes-7-games_back,powerPlayTimeOnIce-7-games_back,shots-7-games_back,timeOnIce-7-games_back,assists-8-games_back,evenTimeOnIce-8-games_back,goals-8-games_back,penaltyMinutes-8-games_back,powerPlayTimeOnIce-8-games_back,shots-8-games_back,timeOnIce-8-games_back,assists-9-games_back,evenTimeOnIce-9-games_back,goals-9-games_back,penaltyMinutes-9-games_back,powerPlayTimeOnIce-9-games_back,shots-9-games_back,timeOnIce-9-games_back,assists-10-games_back,evenTimeOnIce-10-games_back,goals-10-games_back,penaltyMinutes-10-games_back,powerPlayTimeOnIce-10-games_back,shots-10-games_back,timeOnIce-10-games_back,home-ply-1-games_back,pim-ply-1-games_back,takeaways-ply-1-games_back,giveaways-ply-1-games_back,hits-ply-1-games_back,game_type-ply-1-games_back,shots-ply-1-games_back,home-opp-1-games_back,pim-opp-1-games_back,takeaways-opp-1-games_back,giveaways-opp-1-games_back,hits-opp-1-games_back,game_type-opp-1-games_back,blocked-opp-1-games_back,home-ply-2-games_back,pim-ply-2-games_back,takeaways-ply-2-games_back,giveaways-ply-2-games_back,hits-ply-2-games_back,game_type-ply-2-games_back,shots-ply-2-games_back,home-opp-2-games_back,pim-opp-2-games_back,takeaways-opp-2-games_back,giveaways-opp-2-games_back,hits-opp-2-games_back,game_type-opp-2-games_back,blocked-opp-2-games_back,home-ply-3-games_back,pim-ply-3-games_back,takeaways-ply-3-games_back,giveaways-ply-3-games_back,hits-ply-3-games_back,game_type-ply-3-games_back,shots-ply-3-games_back,home-opp-3-games_back,pim-opp-3-games_back,takeaways-opp-3-games_back,giveaways-opp-3-games_back,hits-opp-3-games_back,game_type-opp-3-games_back,blocked-opp-3-games_back,home-ply-4-games_back,pim-ply-4-games_back,takeaways-ply-4-games_back,giveaways-ply-4-games_back,hits-ply-4-games_back,game_type-ply-4-games_back,shots-ply-4-games_back,home-opp-4-games_back,pim-opp-4-games_back,takeaways-opp-4-games_back,giveaways-opp-4-games_back,hits-opp-4-games_back,game_type-opp-4-games_back,blocked-opp-4-games_back,home-ply-5-games_back,pim-ply-5-games_back,takeaways-ply-5-games_back,giveaways-ply-5-games_back,hits-ply-5-games_back,game_type-ply-5-games_back,shots-ply-5-games_back,home-opp-5-games_back,pim-opp-5-games_back,takeaways-opp-5-games_back,giveaways-opp-5-games_back,hits-opp-5-games_back,game_type-opp-5-games_back,blocked-opp-5-games_back,home-ply-6-games_back,pim-ply-6-games_back,takeaways-ply-6-games_back,giveaways-ply-6-games_back,hits-ply-6-games_back,game_type-ply-6-games_back,shots-ply-6-games_back,home-opp-6-games_back,pim-opp-6-games_back,takeaways-opp-6-games_back,giveaways-opp-6-games_back,hits-opp-6-games_back,game_type-opp-6-games_back,blocked-opp-6-games_back,home-ply-7-games_back,pim-ply-7-games_back,takeaways-ply-7-games_back,giveaways-ply-7-games_back,hits-ply-7-games_back,game_type-ply-7-games_back,shots-ply-7-games_back,home-opp-7-games_back,pim-opp-7-games_back,takeaways-opp-7-games_back,giveaways-opp-7-games_back,hits-opp-7-games_back,game_type-opp-7-games_back,blocked-opp-7-games_back,home-ply-8-games_back,pim-ply-8-games_back,takeaways-ply-8-games_back,giveaways-ply-8-games_back,hits-ply-8-games_back,game_type-ply-8-games_back,shots-ply-8-games_back,home-opp-8-games_back,pim-opp-8-games_back,takeaways-opp-8-games_back,giveaways-opp-8-games_back,hits-opp-8-games_back,game_type-opp-8-games_back,blocked-opp-8-games_back,home-ply-9-games_back,pim-ply-9-games_back,takeaways-ply-9-games_back,giveaways-ply-9-games_back,hits-ply-9-games_back,game_type-ply-9-games_back,shots-ply-9-games_back,home-opp-9-games_back,pim-opp-9-games_back,takeaways-opp-9-games_back,giveaways-opp-9-games_back,hits-opp-9-games_back,game_type-opp-9-games_back,blocked-opp-9-games_back,home-ply-10-games_back,pim-ply-10-games_back,takeaways-ply-10-games_back,giveaways-ply-10-games_back,hits-ply-10-games_back,game_type-ply-10-games_back,shots-ply-10-games_back,home-opp-10-games_back,pim-opp-10-games_back,takeaways-opp-10-games_back,giveaways-opp-10-games_back,hits-opp-10-games_back,game_type-opp-10-games_back,blocked-opp-10-games_back
2020020467,2021-03-17,0,0,0,0,1,1,1,0,L,11981,0,1065,0,0,266,6,1331,0,828,1,0,210,5,1038,1,928,0,0,239,2,1167,1,1023,1,0,76,1,1099,0,960,2,0,167,4,1127,1,889,0,0,126,0,1015,0,955,1,2,200,5,1155,1,991,0,2,89,2,1080,1,1056,0,0,259,7,1315,0,1222,0,0,91,1,1313,1,12,0,4,28,03,17,1,12,2,16,18,02,14,1,12,9,14,9,03,22,1,12,2,12,18,02,12,1,22,4,7,30,03,31,1,8,3,8,15,02,19,1,13,6,15,41,03,37,0,6,5,7,8,02,18,0,6,5,24,46,03,49,0,15,4,5,9,02,7,0,18,11,8,33,03,37,1,7,4,13,22,02,11,1,6,6,13,42,03,39,0,8,9,1,30,02,15,0,4,7,23,32,03,36,0,4,3,3,27,02,13,0,8,3,2,20,02,32,1,4,3,7,26,02,16,0,16,10,6,21,02,21,1,6,0,5,15,02,9
2020020437,2021-03-13,1,1,1,1,0,0,0,6,L,11977,0,828,1,0,210,5,1038,1,928,0,0,239,2,1167,1,1023,1,0,76,1,1099,0,960,2,0,167,4,1127,1,889,0,0,126,0,1015,0,955,1,2,200,5,1155,1,991,0,2,89,2,1080,1,1056,0,0,259,7,1315,0,1222,0,0,91,1,1313,1,1160,0,0,282,1,1442,1,12,9,14,9,03,22,1,12,2,12,18,02,12,1,22,4,7,30,03,31,1,8,3,8,15,02,19,1,13,6,15,41,03,37,0,6,5,7,8,02,18,0,6,5,24,46,03,49,0,15,4,5,9,02,7,0,18,11,8,33,03,37,1,7,4,13,22,02,11,1,6,6,13,42,03,39,0,8,9,1,30,02,15,0,4,7,23,32,03,36,0,4,3,3,27,02,13,0,8,3,2,20,02,32,1,4,3,7,26,02,16,0,16,10,6,21,02,21,1,6,0,5,15,02,9,1,6,4,1,13,02,33,1,6,2,4,15,02,12
2020020425,2021-03-12,1,1,1,1,0,0,0,5,L,11976,1,928,0,0,239,2,1167,1,1023,1,0,76,1,1099,0,960,2,0,167,4,1127,1,889,0,0,126,0,1015,0,955,1,2,200,5,1155,1,991,0,2,89,2,1080,1,1056,0,0,259,7,1315,0,1222,0,0,91,1,1313,1,1160,0,0,282,1,1442,2,1124,1,0,180,4,1304,1,22,4,7,30,03,31,1,8,3,8,15,02,19,1,13,6,15,41,03,37,0,6,5,7,8,02,18,0,6,5,24,46,03,49,0,15,4,5,9,02,7,0,18,11,8,33,03,37,1,7,4,13,22,02,11,1,6,6,13,42,03,39,0,8,9,1,30,02,15,0,4,7,23,32,03,36,0,4,3,3,27,02,13,0,8,3,2,20,02,32,1,4,3,7,26,02,16,0,16,10,6,21,02,21,1,6,0,5,15,02,9,1,6,4,1,13,02,33,1,6,2,4,15,02,12,1,14,2,3,13,02,23,0,6,0,5,18,02,10
2020020326,2021-03-08,0,0,0,1,0,1,1,2,L,11972,1,1023,1,0,76,1,1099,0,960,2,0,167,4,1127,1,889,0,0,126,0,1015,0,955,1,2,200,5,1155,1,991,0,2,89,2,1080,1,1056,0,0,259,7,1315,0,1222,0,0,91,1,1313,1,1160,0,0,282,1,1442,2,1124,1,0,180,4,1304,0,974,0,0,93,0,1067,1,13,6,15,41,03,37,0,6,5,7,8,02,18,0,6,5,24,46,03,49,0,15,4,5,9,02,7,0,18,11,8,33,03,37,1,7,4,13,22,02,11,1,6,6,13,42,03,39,0,8,9,1,30,02,15,0,4,7,23,32,03,36,0,4,3,3,27,02,13,0,8,3,2,20,02,32,1,4,3,7,26,02,16,0,16,10,6,21,02,21,1,6,0,5,15,02,9,1,6,4,1,13,02,33,1,6,2,4,15,02,12,1,14,2,3,13,02,23,0,6,0,5,18,02,10,1,10,1,1,17,02,30,0,8,2,6,26,02,20
2020020388,2021-03-06,0,0,0,0,1,1,1,1,L,11970,0,960,2,0,167,4,1127,1,889,0,0,126,0,1015,0,955,1,2,200,5,1155,1,991,0,2,89,2,1080,1,1056,0,0,259,7,1315,0,1222,0,0,91,1,1313,1,1160,0,0,282,1,1442,2,1124,1,0,180,4,1304,0,974,0,0,93,0,1067,1,1166,0,0,85,2,1251,0,6,5,24,46,03,49,0,15,4,5,9,02,7,0,18,11,8,33,03,37,1,7,4,13,22,02,11,1,6,6,13,42,03,39,0,8,9,1,30,02,15,0,4,7,23,32,03,36,0,4,3,3,27,02,13,0,8,3,2,20,02,32,1,4,3,7,26,02,16,0,16,10,6,21,02,21,1,6,0,5,15,02,9,1,6,4,1,13,02,33,1,6,2,4,15,02,12,1,14,2,3,13,02,23,0,6,0,5,18,02,10,1,10,1,1,17,02,30,0,8,2,6,26,02,20,1,10,7,14,34,02,31,0,6,3,4,14,02,10
2020020379,2021-03-05,0,1,1,1,0,0,0,4,L,11969,1,889,0,0,126,0,1015,0,955,1,2,200,5,1155,1,991,0,2,89,2,1080,1,1056,0,0,259,7,1315,0,1222,0,0,91,1,1313,1,1160,0,0,282,1,1442,2,1124,1,0,180,4,1304,0,974,0,0,93,0,1067,1,1166,0,0,85,2,1251,1,888,0,0,90,2,978,0,18,11,8,33,03,37,1,7,4,13,22,02,11,1,6,6,13,42,03,39,0,8,9,1,30,02,15,0,4,7,23,32,03,36,0,4,3,3,27,02,13,0,8,3,2,20,02,32,1,4,3,7,26,02,16,0,16,10,6,21,02,21,1,6,0,5,15,02,9,1,6,4,1,13,02,33,1,6,2,4,15,02,12,1,14,2,3,13,02,23,0,6,0,5,18,02,10,1,10,1,1,17,02,30,0,8,2,6,26,02,20,1,10,7,14,34,02,31,0,6,3,4,14,02,10,0,17,7,4,30,02,25,0,6,2,2,20,02,14
2020020362,2021-03-03,0,0,0,0,1,1,1,0,L,11967,0,955,1,2,200,5,1155,1,991,0,2,89,2,1080,1,1056,0,0,259,7,1315,0,1222,0,0,91,1,1313,1,1160,0,0,282,1,1442,2,1124,1,0,180,4,1304,0,974,0,0,93,0,1067,1,1166,0,0,85,2,1251,1,888,0,0,90,2,978,1,868,1,0,198,3,1066,1,6,6,13,42,03,39,0,8,9,1,30,02,15,0,4,7,23,32,03,36,0,4,3,3,27,02,13,0,8,3,2,20,02,32,1,4,3,7,26,02,16,0,16,10,6,21,02,21,1,6,0,5,15,02,9,1,6,4,1,13,02,33,1,6,2,4,15,02,12,1,14,2,3,13,02,23,0,6,0,5,18,02,10,1,10,1,1,17,02,30,0,8,2,6,26,02,20,1,10,7,14,34,02,31,0,6,3,4,14,02,10,0,17,7,4,30,02,25,0,6,2,2,20,02,14,0,13,5,15,25,02,30,1,6,1,9,10,02,6
2020020352,2021-03-01,0,1,1,1,0,0,0,5,L,11965,1,991,0,2,89,2,1080,1,1056,0,0,259,7,1315,0,1222,0,0,91,1,1313,1,1160,0,0,282,1,1442,2,1124,1,0,180,4,1304,0,974,0,0,93,0,1067,1,1166,0,0,85,2,1251,1,888,0,0,90,2,978,1,868,1,0,198,3,1066,0,837,0,4,253,1,1158,0,4,7,23,32,03,36,0,4,3,3,27,02,13,0,8,3,2,20,02,32,1,4,3,7,26,02,16,0,16,10,6,21,02,21,1,6,0,5,15,02,9,1,6,4,1,13,02,33,1,6,2,4,15,02,12,1,14,2,3,13,02,23,0,6,0,5,18,02,10,1,10,1,1,17,02,30,0,8,2,6,26,02,20,1,10,7,14,34,02,31,0,6,3,4,14,02,10,0,17,7,4,30,02,25,0,6,2,2,20,02,14,0,13,5,15,25,02,30,1,6,1,9,10,02,6,0,4,4,12,26,02,23,0,2,6,9,17,02,12
2020020339,2021-02-27,0,0,0,1,0,1,1,2,L,11963,1,1056,0,0,259,7,1315,0,1222,0,0,91,1,1313,1,1160,0,0,282,1,1442,2,1124,1,0,180,4,1304,0,974,0,0,93,0,1067,1,1166,0,0,85,2,1251,1,888,0,0,90,2,978,1,868,1,0,198,3,1066,0,837,0,4,253,1,1158,2,1145,0,0,270,6,1415,0,8,3,2,20,02,32,1,4,3,7,26,02,16,0,16,10,6,21,02,21,1,6,0,5,15,02,9,1,6,4,1,13,02,33,1,6,2,4,15,02,12,1,14,2,3,13,02,23,0,6,0,5,18,02,10,1,10,1,1,17,02,30,0,8,2,6,26,02,20,1,10,7,14,34,02,31,0,6,3,4,14,02,10,0,17,7,4,30,02,25,0,6,2,2,20,02,14,0,13,5,15,25,02,30,1,6,1,9,10,02,6,0,4,4,12,26,02,23,0,2,6,9,17,02,12,1,6,1,3,13,02,29,0,8,8,13,23,02,18
2020020309,2021-02-24,1,1,1,1,0,0,0,7,L,11960,0,1222,0,0,91,1,1313,1,1160,0,0,282,1,1442,2,1124,1,0,180,4,1304,0,974,0,0,93,0,1067,1,1166,0,0,85,2,1251,1,888,0,0,90,2,978,1,868,1,0,198,3,1066,0,837,0,4,253,1,1158,2,1145,0,0,270,6,1415,0,689,0,2,315,2,1004,0,16,10,6,21,02,21,1,6,0,5,15,02,9,1,6,4,1,13,02,33,1,6,2,4,15,02,12,1,14,2,3,13,02,23,0,6,0,5,18,02,10,1,10,1,1,17,02,30,0,8,2,6,26,02,20,1,10,7,14,34,02,31,0,6,3,4,14,02,10,0,17,7,4,30,02,25,0,6,2,2,20,02,14,0,13,5,15,25,02,30,1,6,1,9,10,02,6,0,4,4,12,26,02,23,0,2,6,9,17,02,12,1,6,1,3,13,02,29,0,8,8,13,23,02,18,1,4,1,0,23,02,43,0,9,4,8,14,02,23
2020020297,2021-02-22,1,0,0,0,1,1,1,1,L,11958,1,1160,0,0,282,1,1442,2,1124,1,0,180,4,1304,0,974,0,0,93,0,1067,1,1166,0,0,85,2,1251,1,888,0,0,90,2,978,1,868,1,0,198,3,1066,0,837,0,4,253,1,1158,2,1145,0,0,270,6,1415,0,689,0,2,315,2,1004,1,800,0,0,182,0,982,1,6,4,1,13,02,33,1,6,2,4,15,02,12,1,14,2,3,13,02,23,0,6,0,5,18,02,10,1,10,1,1,17,02,30,0,8,2,6,26,02,20,1,10,7,14,34,02,31,0,6,3,4,14,02,10,0,17,7,4,30,02,25,0,6,2,2,20,02,14,0,13,5,15,25,02,30,1,6,1,9,10,02,6,0,4,4,12,26,02,23,0,2,6,9,17,02,12,1,6,1,3,13,02,29,0,8,8,13,23,02,18,1,4,1,0,23,02,43,0,9,4,8,14,02,23,1,19,7,8,21,02,25,0,2,5,3,21,02,11
2020020283,2021-02-20,1,0,0,0,1,1,1,1,L,11956,2,1124,1,0,180,4,1304,0,974,0,0,93,0,1067,1,1166,0,0,85,2,1251,1,888,0,0,90,2,978,1,868,1,0,198,3,1066,0,837,0,4,253,1,1158,2,1145,0,0,270,6,1415,0,689,0,2,315,2,1004,1,800,0,0,182,0,982,1,658,1,0,136,5,800,1,14,2,3,13,02,23,0,6,0,5,18,02,10,1,10,1,1,17,02,30,0,8,2,6,26,02,20,1,10,7,14,34,02,31,0,6,3,4,14,02,10,0,17,7,4,30,02,25,0,6,2,2,20,02,14,0,13,5,15,25,02,30,1,6,1,9,10,02,6,0,4,4,12,26,02,23,0,2,6,9,17,02,12,1,6,1,3,13,02,29,0,8,8,13,23,02,18,1,4,1,0,23,02,43,0,9,4,8,14,02,23,1,19,7,8,21,02,25,0,2,5,3,21,02,11,1,15,5,6,21,02,43,1,0,0,0,0,02,0
2020020269,2021-02-18,1,1,1,1,0,0,0,4,L,11954,0,974,0,0,93,0,1067,1,1166,0,0,85,2,1251,1,888,0,0,90,2,978,1,868,1,0,198,3,1066,0,837,0,4,253,1,1158,2,1145,0,0,270,6,1415,0,689,0,2,315,2,1004,1,800,0,0,182,0,982,1,658,1,0,136,5,800,0,914,2,2,256,5,1170,1,10,1,1,17,02,30,0,8,2,6,26,02,20,1,10,7,14,34,02,31,0,6,3,4,14,02,10,0,17,7,4,30,02,25,0,6,2,2,20,02,14,0,13,5,15,25,02,30,1,6,1,9,10,02,6,0,4,4,12,26,02,23,0,2,6,9,17,02,12,1,6,1,3,13,02,29,0,8,8,13,23,02,18,1,4,1,0,23,02,43,0,9,4,8,14,02,23,1,19,7,8,21,02,25,0,2,5,3,21,02,11,1,15,5,6,21,02,43,1,0,0,0,0,02,0,0,6,1,3,12,02,27,1,0,0,0,0,02,0
2020020251,2021-02-15,0,0,0,0,1,1,1,0,L,11951,1,1166,0,0,85,2,1251,1,888,0,0,90,2,978,1,868,1,0,198,3,1066,0,837,0,4,253,1,1158,2,1145,0,0,270,6,1415,0,689,0,2,315,2,1004,1,800,0,0,182,0,982,1,658,1,0,136,5,800,0,914,2,2,256,5,1170,1,1044,0,2,81,3,1125,1,10,7,14,34,02,31,0,6,3,4,14,02,10,0,17,7,4,30,02,25,0,6,2,2,20,02,14,0,13,5,15,25,02,30,1,6,1,9,10,02,6,0,4,4,12,26,02,23,0,2,6,9,17,02,12,1,6,1,3,13,02,29,0,8,8,13,23,02,18,1,4,1,0,23,02,43,0,9,4,8,14,02,23,1,19,7,8,21,02,25,0,2,5,3,21,02,11,1,15,5,6,21,02,43,1,0,0,0,0,02,0,0,6,1,3,12,02,27,1,0,0,0,0,02,0,0,4,8,7,18,02,35,0,0,0,0,0,02,0
2020020239,2021-02-13,0,0,0,1,0,1,1,2,L,11949,1,888,0,0,90,2,978,1,868,1,0,198,3,1066,0,837,0,4,253,1,1158,2,1145,0,0,270,6,1415,0,689,0,2,315,2,1004,1,800,0,0,182,0,982,1,658,1,0,136,5,800,0,914,2,2,256,5,1170,1,1044,0,2,81,3,1125,1,836,1,0,149,5,985,0,17,7,4,30,02,25,0,6,2,2,20,02,14,0,13,5,15,25,02,30,1,6,1,9,10,02,6,0,4,4,12,26,02,23,0,2,6,9,17,02,12,1,6,1,3,13,02,29,0,8,8,13,23,02,18,1,4,1,0,23,02,43,0,9,4,8,14,02,23,1,19,7,8,21,02,25,0,2,5,3,21,02,11,1,15,5,6,21,02,43,1,0,0,0,0,02,0,0,6,1,3,12,02,27,1,0,0,0,0,02,0,0,4,8,7,18,02,35,0,0,0,0,0,02,0,0,8,6,5,16,02,24,0,0,0,0,0,02,0
2020020684,2021-02-12,0,0,0,1,0,1,1,2,L,11948,1,868,1,0,198,3,1066,0,837,0,4,253,1,1158,2,1145,0,0,270,6,1415,0,689,0,2,315,2,1004,1,800,0,0,182,0,982,1,658,1,0,136,5,800,0,914,2,2,256,5,1170,1,1044,0,2,81,3,1125,1,836,1,0,149,5,985,0,953,0,2,128,1,1081,0,13,5,15,25,02,30,1,6,1,9,10,02,6,0,4,4,12,26,02,23,0,2,6,9,17,02,12,1,6,1,3,13,02,29,0,8,8,13,23,02,18,1,4,1,0,23,02,43,0,9,4,8,14,02,23,1,19,7,8,21,02,25,0,2,5,3,21,02,11,1,15,5,6,21,02,43,1,0,0,0,0,02,0,0,6,1,3,12,02,27,1,0,0,0,0,02,0,0,4,8,7,18,02,35,0,0,0,0,0,02,0,0,8,6,5,16,02,24,0,0,0,0,0,02,0,1,2,5,9,27,02,45,0,0,0,0,0,02,0
2020020565,2021-02-08,1,0,1,1,0,0,1,3,L,11944,0,837,0,4,253,1,1158,2,1145,0,0,270,6,1415,0,689,0,2,315,2,1004,1,800,0,0,182,0,982,1,658,1,0,136,5,800,0,914,2,2,256,5,1170,1,1044,0,2,81,3,1125,1,836,1,0,149,5,985,0,953,0,2,128,1,1081,1,877,0,0,190,2,1067,0,4,4,12,26,02,23,0,2,6,9,17,02,12,1,6,1,3,13,02,29,0,8,8,13,23,02,18,1,4,1,0,23,02,43,0,9,4,8,14,02,23,1,19,7,8,21,02,25,0,2,5,3,21,02,11,1,15,5,6,21,02,43,1,0,0,0,0,02,0,0,6,1,3,12,02,27,1,0,0,0,0,02,0,0,4,8,7,18,02,35,0,0,0,0,0,02,0,0,8,6,5,16,02,24,0,0,0,0,0,02,0,1,2,5,9,27,02,45,0,0,0,0,0,02,0,1,2,8,12,17,02,32,0,0,0,0,0,02,0
2020020550,2021-02-06,1,0,0,0,1,1,1,1,L,11942,2,1145,0,0,270,6,1415,0,689,0,2,315,2,1004,1,800,0,0,182,0,982,1,658,1,0,136,5,800,0,914,2,2,256,5,1170,1,1044,0,2,81,3,1125,1,836,1,0,149,5,985,0,953,0,2,128,1,1081,1,877,0,0,190,2,1067,0,608,0,0,232,1,840,1,6,1,3,13,02,29,0,8,8,13,23,02,18,1,4,1,0,23,02,43,0,9,4,8,14,02,23,1,19,7,8,21,02,25,0,2,5,3,21,02,11,1,15,5,6,21,02,43,1,0,0,0,0,02,0,0,6,1,3,12,02,27,1,0,0,0,0,02,0,0,4,8,7,18,02,35,0,0,0,0,0,02,0,0,8,6,5,16,02,24,0,0,0,0,0,02,0,1,2,5,9,27,02,45,0,0,0,0,0,02,0,1,2,8,12,17,02,32,0,0,0,0,0,02,0,1,4,2,11,39,02,31,1,0,0,0,0,02,0
2020020169,2021-02-04,1,1,1,1,0,0,0,6,L,11940,0,689,0,2,315,2,1004,1,800,0,0,182,0,982,1,658,1,0,136,5,800,0,914,2,2,256,5,1170,1,1044,0,2,81,3,1125,1,836,1,0,149,5,985,0,953,0,2,128,1,1081,1,877,0,0,190,2,1067,0,608,0,0,232,1,840,0,985,0,0,96,2,1081,1,4,1,0,23,02,43,0,9,4,8,14,02,23,1,19,7,8,21,02,25,0,2,5,3,21,02,11,1,15,5,6,21,02,43,1,0,0,0,0,02,0,0,6,1,3,12,02,27,1,0,0,0,0,02,0,0,4,8,7,18,02,35,0,0,0,0,0,02,0,0,8,6,5,16,02,24,0,0,0,0,0,02,0,1,2,5,9,27,02,45,0,0,0,0,0,02,0,1,2,8,12,17,02,32,0,0,0,0,0,02,0,1,4,2,11,39,02,31,1,0,0,0,0,02,0,1,2,3,14,29,02,36,1,0,0,0,0,02,0
2020020154,2021-02-02,1,0,0,1,0,1,1,2,L,11938,1,800,0,0,182,0,982,1,658,1,0,136,5,800,0,914,2,2,256,5,1170,1,1044,0,2,81,3,1125,1,836,1,0,149,5,985,0,953,0,2,128,1,1081,1,877,0,0,190,2,1067,0,608,0,0,232,1,840,0,985,0,0,96,2,1081,0,0,0,0,0,0,0,1,19,7,8,21,02,25,0,2,5,3,21,02,11,1,15,5,6,21,02,43,1,0,0,0,0,02,0,0,6,1,3,12,02,27,1,0,0,0,0,02,0,0,4,8,7,18,02,35,0,0,0,0,0,02,0,0,8,6,5,16,02,24,0,0,0,0,0,02,0,1,2,5,9,27,02,45,0,0,0,0,0,02,0,1,2,8,12,17,02,32,0,0,0,0,0,02,0,1,4,2,11,39,02,31,1,0,0,0,0,02,0,1,2,3,14,29,02,36,1,0,0,0,0,02,0,0,14,8,7,24,02,31,1,0,0,0,0,02,0
2020020143,2021-01-31,0,0,0,0,1,1,1,0,L,11936,1,658,1,0,136,5,800,0,914,2,2,256,5,1170,1,1044,0,2,81,3,1125,1,836,1,0,149,5,985,0,953,0,2,128,1,1081,1,877,0,0,190,2,1067,0,608,0,0,232,1,840,0,985,0,0,96,2,1081,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,15,5,6,21,02,43,1,0,0,0,0,02,0,0,6,1,3,12,02,27,1,0,0,0,0,02,0,0,4,8,7,18,02,35,0,0,0,0,0,02,0,0,8,6,5,16,02,24,0,0,0,0,0,02,0,1,2,5,9,27,02,45,0,0,0,0,0,02,0,1,2,8,12,17,02,32,0,0,0,0,0,02,0,1,4,2,11,39,02,31,1,0,0,0,0,02,0,1,2,3,14,29,02,36,1,0,0,0,0,02,0,0,14,8,7,24,02,31,1,0,0,0,0,02,0,0,8,7,7,24,02,35,1,0,0,0,0,02,0
2020020135,2021-01-30,0,1,1,1,0,0,0,5,L,11935,0,914,2,2,256,5,1170,1,1044,0,2,81,3,1125,1,836,1,0,149,5,985,0,953,0,2,128,1,1081,1,877,0,0,190,2,1067,0,608,0,0,232,1,840,0,985,0,0,96,2,1081,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,1,3,12,02,27,1,0,0,0,0,02,0,0,4,8,7,18,02,35,0,0,0,0,0,02,0,0,8,6,5,16,02,24,0,0,0,0,0,02,0,1,2,5,9,27,02,45,0,0,0,0,0,02,0,1,2,8,12,17,02,32,0,0,0,0,0,02,0,1,4,2,11,39,02,31,1,0,0,0,0,02,0,1,2,3,14,29,02,36,1,0,0,0,0,02,0,0,14,8,7,24,02,31,1,0,0,0,0,02,0,0,8,7,7,24,02,35,1,0,0,0,0,02,0,0,6,2,10,31,02,21,0,0,0,0,0,02,0
2020020106,2021-01-26,0,1,1,1,0,0,0,5,L,11931,1,1044,0,2,81,3,1125,1,836,1,0,149,5,985,0,953,0,2,128,1,1081,1,877,0,0,190,2,1067,0,608,0,0,232,1,840,0,985,0,0,96,2,1081,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,8,7,18,02,35,0,0,0,0,0,02,0,0,8,6,5,16,02,24,0,0,0,0,0,02,0,1,2,5,9,27,02,45,0,0,0,0,0,02,0,1,2,8,12,17,02,32,0,0,0,0,0,02,0,1,4,2,11,39,02,31,1,0,0,0,0,02,0,1,2,3,14,29,02,36,1,0,0,0,0,02,0,0,14,8,7,24,02,31,1,0,0,0,0,02,0,0,8,7,7,24,02,35,1,0,0,0,0,02,0,0,6,2,10,31,02,21,0,0,0,0,0,02,0,0,8,0,1,27,02,22,0,0,0,0,0,02,0
2020020085,2021-01-24,1,0,1,1,0,0,1,3,L,11929,1,836,1,0,149,5,985,0,953,0,2,128,1,1081,1,877,0,0,190,2,1067,0,608,0,0,232,1,840,0,985,0,0,96,2,1081,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,6,5,16,02,24,0,0,0,0,0,02,0,1,2,5,9,27,02,45,0,0,0,0,0,02,0,1,2,8,12,17,02,32,0,0,0,0,0,02,0,1,4,2,11,39,02,31,1,0,0,0,0,02,0,1,2,3,14,29,02,36,1,0,0,0,0,02,0,0,14,8,7,24,02,31,1,0,0,0,0,02,0,0,8,7,7,24,02,35,1,0,0,0,0,02,0,0,6,2,10,31,02,21,0,0,0,0,0,02,0,0,8,0,1,27,02,22,0,0,0,0,0,02,0,0,6,4,1,16,02,25,1,0,0,0,0,02,0
