game_id,game_date,is_home_game,shots_this_game_O3.5,shots_this_game_O2.5,shots_this_game_O1.5,shots_this_game_U1.5,shots_this_game_U2.5,shots_this_game_U3.5,shots_this_game_total,primary_position,days_old,assists-1-games_back,evenTimeOnIce-1-games_back,goals-1-games_back,penaltyMinutes-1-games_back,powerPlayTimeOnIce-1-games_back,shots-1-games_back,timeOnIce-1-games_back,assists-2-games_back,evenTimeOnIce-2-games_back,goals-2-games_back,penaltyMinutes-2-games_back,powerPlayTimeOnIce-2-games_back,shots-2-games_back,timeOnIce-2-games_back,assists-3-games_back,evenTimeOnIce-3-games_back,goals-3-games_back,penaltyMinutes-3-games_back,powerPlayTimeOnIce-3-games_back,shots-3-games_back,timeOnIce-3-games_back,assists-4-games_back,evenTimeOnIce-4-games_back,goals-4-games_back,penaltyMinutes-4-games_back,powerPlayTimeOnIce-4-games_back,shots-4-games_back,timeOnIce-4-games_back,assists-5-games_back,evenTimeOnIce-5-games_back,goals-5-games_back,penaltyMinutes-5-games_back,powerPlayTimeOnIce-5-games_back,shots-5-games_back,timeOnIce-5-games_back,assists-6-games_back,evenTimeOnIce-6-games_back,goals-6-games_back,penaltyMinutes-6-games_back,powerPlayTimeOnIce-6-games_back,shots-6-games_back,timeOnIce-6-games_back,assists-7-games_back,evenTimeOnIce-7-games_back,goals-7-games_back,penaltyMinutes-7-games_back,powerPlayTimeOnIce-7-games_back,shots-7-games_back,timeOnIce-7-games_back,assists-8-games_back,evenTimeOnIce-8-games_back,goals-8-games_back,penaltyMinutes-8-games_back,powerPlayTimeOnIce-8-games_back,shots-8-games_back,timeOnIce-8-games_back,assists-9-games_back,evenTimeOnIce-9-games_back,goals-9-games_back,penaltyMinutes-9-games_back,powerPlayTimeOnIce-9-games_back,shots-9-games_back,timeOnIce-9-games_back,assists-10-games_back,evenTimeOnIce-10-games_back,goals-10-games_back,penaltyMinutes-10-games_back,powerPlayTimeOnIce-10-games_back,shots-10-games_back,timeOnIce-10-games_back,home-ply-1-games_back,pim-ply-1-games_back,takeaways-ply-1-games_back,giveaways-ply-1-games_back,hits-ply-1-games_back,game_type-ply-1-games_back,shots-ply-1-games_back,home-opp-1-games_back,pim-opp-1-games_back,takeaways-opp-1-games_back,giveaways-opp-1-games_back,hits-opp-1-games_back,game_type-opp-1-games_back,blocked-opp-1-games_back,home-ply-2-games_back,pim-ply-2-games_back,takeaways-ply-2-games_back,giveaways-ply-2-games_back,hits-ply-2-games_back,game_type-ply-2-games_back,shots-ply-2-games_back,home-opp-2-games_back,pim-opp-2-games_back,takeaways-opp-2-games_back,giveaways-opp-2-games_back,hits-opp-2-games_back,game_type-opp-2-games_back,blocked-opp-2-games_back,home-ply-3-games_back,pim-ply-3-games_back,takeaways-ply-3-games_back,giveaways-ply-3-games_back,hits-ply-3-games_back,game_type-ply-3-games_back,shots-ply-3-games_back,home-opp-3-games_back,pim-opp-3-games_back,takeaways-opp-3-games_back,giveaways-opp-3-games_back,hits-opp-3-games_back,game_type-opp-3-games_back,blocked-opp-3-games_back,home-ply-4-games_back,pim-ply-4-games_back,takeaways-ply-4-games_back,giveaways-ply-4-games_back,hits-ply-4-games_back,game_type-ply-4-games_back,shots-ply-4-games_back,home-opp-4-games_back,pim-opp-4-games_back,takeaways-opp-4-games_back,giveaways-opp-4-games_back,hits-opp-4-games_back,game_type-opp-4-games_back,blocked-opp-4-games_back,home-ply-5-games_back,pim-ply-5-games_back,takeaways-ply-5-games_back,giveaways-ply-5-games_back,hits-ply-5-games_back,game_type-ply-5-games_back,shots-ply-5-games_back,home-opp-5-games_back,pim-opp-5-games_back,takeaways-opp-5-games_back,giveaways-opp-5-games_back,hits-opp-5-games_back,game_type-opp-5-games_back,blocked-opp-5-games_back,home-ply-6-games_back,pim-ply-6-games_back,takeaways-ply-6-games_back,giveaways-ply-6-games_back,hits-ply-6-games_back,game_type-ply-6-games_back,shots-ply-6-games_back,home-opp-6-games_back,pim-opp-6-games_back,takeaways-opp-6-games_back,giveaways-opp-6-games_back,hits-opp-6-games_back,game_type-opp-6-games_back,blocked-opp-6-games_back,home-ply-7-games_back,pim-ply-7-games_back,takeaways-ply-7-games_back,giveaways-ply-7-games_back,hits-ply-7-games_back,game_type-ply-7-games_back,shots-ply-7-games_back,home-opp-7-games_back,pim-opp-7-games_back,takeaways-opp-7-games_back,giveaways-opp-7-games_back,hits-opp-7-games_back,game_type-opp-7-games_back,blocked-opp-7-games_back,home-ply-8-games_back,pim-ply-8-games_back,takeaways-ply-8-games_back,giveaways-ply-8-games_back,hits-ply-8-games_back,game_type-ply-8-games_back,shots-ply-8-games_back,home-opp-8-games_back,pim-opp-8-games_back,takeaways-opp-8-games_back,giveaways-opp-8-games_back,hits-opp-8-games_back,game_type-opp-8-games_back,blocked-opp-8-games_back,home-ply-9-games_back,pim-ply-9-games_back,takeaways-ply-9-games_back,giveaways-ply-9-games_back,hits-ply-9-games_back,game_type-ply-9-games_back,shots-ply-9-games_back,home-opp-9-games_back,pim-opp-9-games_back,takeaways-opp-9-games_back,giveaways-opp-9-games_back,hits-opp-9-games_back,game_type-opp-9-games_back,blocked-opp-9-games_back,home-ply-10-games_back,pim-ply-10-games_back,takeaways-ply-10-games_back,giveaways-ply-10-games_back,hits-ply-10-games_back,game_type-ply-10-games_back,shots-ply-10-games_back,home-opp-10-games_back,pim-opp-10-games_back,takeaways-opp-10-games_back,giveaways-opp-10-games_back,hits-opp-10-games_back,game_type-opp-10-games_back,blocked-opp-10-games_back
2020020471,2021-03-18,1,0,1,1,0,0,1,3,D,11048,1,1337,0,0,160,1,1657,0,1113,0,0,188,3,1407,1,1090,0,0,66,2,1270,0,945,0,0,385,3,1533,1,1162,0,0,246,2,1576,1,1064,1,2,323,4,1715,1,1197,0,2,448,1,1799,1,1428,0,0,77,2,1635,1,997,0,0,297,2,1500,0,1106,0,2,54,0,1434,0,17,9,10,28,03,35,1,10,8,16,45,03,13,1,6,11,9,49,03,24,0,10,8,14,16,03,9,1,10,13,28,59,03,88,1,7,5,20,29,03,13,1,6,8,10,38,03,37,1,8,2,16,41,03,17,0,8,5,5,35,03,34,0,4,8,7,31,03,9,0,6,2,8,34,03,22,0,8,7,18,35,03,14,1,14,8,7,45,03,25,1,8,9,18,41,03,20,1,8,11,9,39,03,37,0,6,10,21,38,03,24,1,8,5,15,43,03,40,0,4,12,16,48,03,21,0,13,5,10,40,03,31,0,18,7,15,60,03,21
2020020286,2021-03-16,0,0,0,0,1,1,1,1,D,11046,0,1113,0,0,188,3,1407,1,1090,0,0,66,2,1270,0,945,0,0,385,3,1533,1,1162,0,0,246,2,1576,1,1064,1,2,323,4,1715,1,1197,0,2,448,1,1799,1,1428,0,0,77,2,1635,1,997,0,0,297,2,1500,0,1106,0,2,54,0,1434,1,1087,0,0,347,3,1607,1,6,11,9,49,03,24,0,10,8,14,16,03,9,1,10,13,28,59,03,88,1,7,5,20,29,03,13,1,6,8,10,38,03,37,1,8,2,16,41,03,17,0,8,5,5,35,03,34,0,4,8,7,31,03,9,0,6,2,8,34,03,22,0,8,7,18,35,03,14,1,14,8,7,45,03,25,1,8,9,18,41,03,20,1,8,11,9,39,03,37,0,6,10,21,38,03,24,1,8,5,15,43,03,40,0,4,12,16,48,03,21,0,13,5,10,40,03,31,0,18,7,15,60,03,21,0,13,12,11,45,03,26,1,10,6,3,56,03,19
2020020448,2021-03-15,1,0,1,1,0,0,1,3,D,11045,1,1090,0,0,66,2,1270,0,945,0,0,385,3,1533,1,1162,0,0,246,2,1576,1,1064,1,2,323,4,1715,1,1197,0,2,448,1,1799,1,1428,0,0,77,2,1635,1,997,0,0,297,2,1500,0,1106,0,2,54,0,1434,1,1087,0,0,347,3,1607,1,1406,0,0,56,2,1534,1,10,13,28,59,03,88,1,7,5,20,29,03,13,1,6,8,10,38,03,37,1,8,2,16,41,03,17,0,8,5,5,35,03,34,0,4,8,7,31,03,9,0,6,2,8,34,03,22,0,8,7,18,35,03,14,1,14,8,7,45,03,25,1,8,9,18,41,03,20,1,8,11,9,39,03,37,0,6,10,21,38,03,24,1,8,5,15,43,03,40,0,4,12,16,48,03,21,0,13,5,10,40,03,31,0,18,7,15,60,03,21,0,13,12,11,45,03,26,1,10,6,3,56,03,19,1,8,5,12,56,03,35,1,12,7,17,47,03,22
2020020434,2021-03-13,1,0,0,1,0,1,1,2,D,11043,0,945,0,0,385,3,1533,1,1162,0,0,246,2,1576,1,1064,1,2,323,4,1715,1,1197,0,2,448,1,1799,1,1428,0,0,77,2,1635,1,997,0,0,297,2,1500,0,1106,0,2,54,0,1434,1,1087,0,0,347,3,1607,1,1406,0,0,56,2,1534,1,1186,1,2,220,5,1493,1,6,8,10,38,03,37,1,8,2,16,41,03,17,0,8,5,5,35,03,34,0,4,8,7,31,03,9,0,6,2,8,34,03,22,0,8,7,18,35,03,14,1,14,8,7,45,03,25,1,8,9,18,41,03,20,1,8,11,9,39,03,37,0,6,10,21,38,03,24,1,8,5,15,43,03,40,0,4,12,16,48,03,21,0,13,5,10,40,03,31,0,18,7,15,60,03,21,0,13,12,11,45,03,26,1,10,6,3,56,03,19,1,8,5,12,56,03,35,1,12,7,17,47,03,22,1,12,13,20,34,03,34,0,38,7,16,45,03,8
2020020421,2021-03-11,0,0,1,1,0,0,1,3,D,11041,1,1162,0,0,246,2,1576,1,1064,1,2,323,4,1715,1,1197,0,2,448,1,1799,1,1428,0,0,77,2,1635,1,997,0,0,297,2,1500,0,1106,0,2,54,0,1434,1,1087,0,0,347,3,1607,1,1406,0,0,56,2,1534,1,1186,1,2,220,5,1493,0,1427,0,0,58,2,1604,0,8,5,5,35,03,34,0,4,8,7,31,03,9,0,6,2,8,34,03,22,0,8,7,18,35,03,14,1,14,8,7,45,03,25,1,8,9,18,41,03,20,1,8,11,9,39,03,37,0,6,10,21,38,03,24,1,8,5,15,43,03,40,0,4,12,16,48,03,21,0,13,5,10,40,03,31,0,18,7,15,60,03,21,0,13,12,11,45,03,26,1,10,6,3,56,03,19,1,8,5,12,56,03,35,1,12,7,17,47,03,22,1,12,13,20,34,03,34,0,38,7,16,45,03,8,1,28,7,18,44,03,21,1,20,7,12,45,03,26
2020020407,2021-03-09,0,0,0,1,0,1,1,2,D,11039,1,1064,1,2,323,4,1715,1,1197,0,2,448,1,1799,1,1428,0,0,77,2,1635,1,997,0,0,297,2,1500,0,1106,0,2,54,0,1434,1,1087,0,0,347,3,1607,1,1406,0,0,56,2,1534,1,1186,1,2,220,5,1493,0,1427,0,0,58,2,1604,0,1241,0,0,344,2,1705,0,6,2,8,34,03,22,0,8,7,18,35,03,14,1,14,8,7,45,03,25,1,8,9,18,41,03,20,1,8,11,9,39,03,37,0,6,10,21,38,03,24,1,8,5,15,43,03,40,0,4,12,16,48,03,21,0,13,5,10,40,03,31,0,18,7,15,60,03,21,0,13,12,11,45,03,26,1,10,6,3,56,03,19,1,8,5,12,56,03,35,1,12,7,17,47,03,22,1,12,13,20,34,03,34,0,38,7,16,45,03,8,1,28,7,18,44,03,21,1,20,7,12,45,03,26,0,41,3,9,62,03,37,0,8,5,19,38,03,25
2020020394,2021-03-07,0,1,1,1,0,0,0,4,D,11037,1,1197,0,2,448,1,1799,1,1428,0,0,77,2,1635,1,997,0,0,297,2,1500,0,1106,0,2,54,0,1434,1,1087,0,0,347,3,1607,1,1406,0,0,56,2,1534,1,1186,1,2,220,5,1493,0,1427,0,0,58,2,1604,0,1241,0,0,344,2,1705,1,958,0,4,173,1,1244,1,14,8,7,45,03,25,1,8,9,18,41,03,20,1,8,11,9,39,03,37,0,6,10,21,38,03,24,1,8,5,15,43,03,40,0,4,12,16,48,03,21,0,13,5,10,40,03,31,0,18,7,15,60,03,21,0,13,12,11,45,03,26,1,10,6,3,56,03,19,1,8,5,12,56,03,35,1,12,7,17,47,03,22,1,12,13,20,34,03,34,0,38,7,16,45,03,8,1,28,7,18,44,03,21,1,20,7,12,45,03,26,0,41,3,9,62,03,37,0,8,5,19,38,03,25,0,8,4,11,48,03,36,0,8,18,19,49,03,15
2020020376,2021-03-05,0,0,0,0,1,1,1,1,D,11035,1,1428,0,0,77,2,1635,1,997,0,0,297,2,1500,0,1106,0,2,54,0,1434,1,1087,0,0,347,3,1607,1,1406,0,0,56,2,1534,1,1186,1,2,220,5,1493,0,1427,0,0,58,2,1604,0,1241,0,0,344,2,1705,1,958,0,4,173,1,1244,2,1411,0,0,146,3,1649,1,8,11,9,39,03,37,0,6,10,21,38,03,24,1,8,5,15,43,03,40,0,4,12,16,48,03,21,0,13,5,10,40,03,31,0,18,7,15,60,03,21,0,13,12,11,45,03,26,1,10,6,3,56,03,19,1,8,5,12,56,03,35,1,12,7,17,47,03,22,1,12,13,20,34,03,34,0,38,7,16,45,03,8,1,28,7,18,44,03,21,1,20,7,12,45,03,26,0,41,3,9,62,03,37,0,8,5,19,38,03,25,0,8,4,11,48,03,36,0,8,18,19,49,03,15,1,6,12,26,70,03,37,0,14,10,14,47,03,10
2020020367,2021-03-04,0,0,0,1,0,1,1,2,D,11034,1,997,0,0,297,2,1500,0,1106,0,2,54,0,1434,1,1087,0,0,347,3,1607,1,1406,0,0,56,2,1534,1,1186,1,2,220,5,1493,0,1427,0,0,58,2,1604,0,1241,0,0,344,2,1705,1,958,0,4,173,1,1244,2,1411,0,0,146,3,1649,2,933,0,0,219,2,1361,1,8,5,15,43,03,40,0,4,12,16,48,03,21,0,13,5,10,40,03,31,0,18,7,15,60,03,21,0,13,12,11,45,03,26,1,10,6,3,56,03,19,1,8,5,12,56,03,35,1,12,7,17,47,03,22,1,12,13,20,34,03,34,0,38,7,16,45,03,8,1,28,7,18,44,03,21,1,20,7,12,45,03,26,0,41,3,9,62,03,37,0,8,5,19,38,03,25,0,8,4,11,48,03,36,0,8,18,19,49,03,15,1,6,12,26,70,03,37,0,14,10,14,47,03,10,0,4,8,14,40,03,48,1,8,12,10,55,03,21
2020020271,2021-03-02,0,0,0,1,0,1,1,2,D,11032,0,1106,0,2,54,0,1434,1,1087,0,0,347,3,1607,1,1406,0,0,56,2,1534,1,1186,1,2,220,5,1493,0,1427,0,0,58,2,1604,0,1241,0,0,344,2,1705,1,958,0,4,173,1,1244,2,1411,0,0,146,3,1649,2,933,0,0,219,2,1361,0,1105,0,4,259,3,1410,0,13,5,10,40,03,31,0,18,7,15,60,03,21,0,13,12,11,45,03,26,1,10,6,3,56,03,19,1,8,5,12,56,03,35,1,12,7,17,47,03,22,1,12,13,20,34,03,34,0,38,7,16,45,03,8,1,28,7,18,44,03,21,1,20,7,12,45,03,26,0,41,3,9,62,03,37,0,8,5,19,38,03,25,0,8,4,11,48,03,36,0,8,18,19,49,03,15,1,6,12,26,70,03,37,0,14,10,14,47,03,10,0,4,8,14,40,03,48,1,8,12,10,55,03,21,1,16,2,10,56,03,36,1,10,15,21,43,03,17
2020020329,2021-02-27,1,0,0,0,1,1,1,0,D,11029,1,1087,0,0,347,3,1607,1,1406,0,0,56,2,1534,1,1186,1,2,220,5,1493,0,1427,0,0,58,2,1604,0,1241,0,0,344,2,1705,1,958,0,4,173,1,1244,2,1411,0,0,146,3,1649,2,933,0,0,219,2,1361,0,1105,0,4,259,3,1410,0,1267,0,2,224,1,1525,0,13,12,11,45,03,26,1,10,6,3,56,03,19,1,8,5,12,56,03,35,1,12,7,17,47,03,22,1,12,13,20,34,03,34,0,38,7,16,45,03,8,1,28,7,18,44,03,21,1,20,7,12,45,03,26,0,41,3,9,62,03,37,0,8,5,19,38,03,25,0,8,4,11,48,03,36,0,8,18,19,49,03,15,1,6,12,26,70,03,37,0,14,10,14,47,03,10,0,4,8,14,40,03,48,1,8,12,10,55,03,21,1,16,2,10,56,03,36,1,10,15,21,43,03,17,1,14,8,11,51,03,31,0,10,4,19,34,03,22
2020020314,2021-02-25,1,0,1,1,0,0,1,3,D,11027,1,1406,0,0,56,2,1534,1,1186,1,2,220,5,1493,0,1427,0,0,58,2,1604,0,1241,0,0,344,2,1705,1,958,0,4,173,1,1244,2,1411,0,0,146,3,1649,2,933,0,0,219,2,1361,0,1105,0,4,259,3,1410,0,1267,0,2,224,1,1525,1,879,1,0,235,2,1292,1,8,5,12,56,03,35,1,12,7,17,47,03,22,1,12,13,20,34,03,34,0,38,7,16,45,03,8,1,28,7,18,44,03,21,1,20,7,12,45,03,26,0,41,3,9,62,03,37,0,8,5,19,38,03,25,0,8,4,11,48,03,36,0,8,18,19,49,03,15,1,6,12,26,70,03,37,0,14,10,14,47,03,10,0,4,8,14,40,03,48,1,8,12,10,55,03,21,1,16,2,10,56,03,36,1,10,15,21,43,03,17,1,14,8,11,51,03,31,0,10,4,19,34,03,22,0,36,3,14,54,03,32,1,10,2,15,21,02,13
2020020296,2021-02-24,1,0,0,1,0,1,1,2,D,11026,1,1186,1,2,220,5,1493,0,1427,0,0,58,2,1604,0,1241,0,0,344,2,1705,1,958,0,4,173,1,1244,2,1411,0,0,146,3,1649,2,933,0,0,219,2,1361,0,1105,0,4,259,3,1410,0,1267,0,2,224,1,1525,1,879,1,0,235,2,1292,1,1116,0,0,210,0,1461,1,12,13,20,34,03,34,0,38,7,16,45,03,8,1,28,7,18,44,03,21,1,20,7,12,45,03,26,0,41,3,9,62,03,37,0,8,5,19,38,03,25,0,8,4,11,48,03,36,0,8,18,19,49,03,15,1,6,12,26,70,03,37,0,14,10,14,47,03,10,0,4,8,14,40,03,48,1,8,12,10,55,03,21,1,16,2,10,56,03,36,1,10,15,21,43,03,17,1,14,8,11,51,03,31,0,10,4,19,34,03,22,0,36,3,14,54,03,32,1,10,2,15,21,02,13,0,8,11,19,57,03,35,1,8,3,6,18,02,17
2020020097,2021-02-22,0,1,1,1,0,0,0,5,D,11024,0,1427,0,0,58,2,1604,0,1241,0,0,344,2,1705,1,958,0,4,173,1,1244,2,1411,0,0,146,3,1649,2,933,0,0,219,2,1361,0,1105,0,4,259,3,1410,0,1267,0,2,224,1,1525,1,879,1,0,235,2,1292,1,1116,0,0,210,0,1461,1,1065,1,0,463,5,1719,1,28,7,18,44,03,21,1,20,7,12,45,03,26,0,41,3,9,62,03,37,0,8,5,19,38,03,25,0,8,4,11,48,03,36,0,8,18,19,49,03,15,1,6,12,26,70,03,37,0,14,10,14,47,03,10,0,4,8,14,40,03,48,1,8,12,10,55,03,21,1,16,2,10,56,03,36,1,10,15,21,43,03,17,1,14,8,11,51,03,31,0,10,4,19,34,03,22,0,36,3,14,54,03,32,1,10,2,15,21,02,13,0,8,11,19,57,03,35,1,8,3,6,18,02,17,1,4,11,24,64,03,41,1,6,6,8,22,02,12
2020020543,2021-02-20,0,0,0,1,0,1,1,2,D,11022,0,1241,0,0,344,2,1705,1,958,0,4,173,1,1244,2,1411,0,0,146,3,1649,2,933,0,0,219,2,1361,0,1105,0,4,259,3,1410,0,1267,0,2,224,1,1525,1,879,1,0,235,2,1292,1,1116,0,0,210,0,1461,1,1065,1,0,463,5,1719,0,1332,0,2,195,4,1645,0,41,3,9,62,03,37,0,8,5,19,38,03,25,0,8,4,11,48,03,36,0,8,18,19,49,03,15,1,6,12,26,70,03,37,0,14,10,14,47,03,10,0,4,8,14,40,03,48,1,8,12,10,55,03,21,1,16,2,10,56,03,36,1,10,15,21,43,03,17,1,14,8,11,51,03,31,0,10,4,19,34,03,22,0,36,3,14,54,03,32,1,10,2,15,21,02,13,0,8,11,19,57,03,35,1,8,3,6,18,02,17,1,4,11,24,64,03,41,1,6,6,8,22,02,12,0,6,5,9,40,03,29,1,14,8,15,14,02,21
2020020256,2021-02-15,1,0,0,1,0,1,1,2,D,11017,1,958,0,4,173,1,1244,2,1411,0,0,146,3,1649,2,933,0,0,219,2,1361,0,1105,0,4,259,3,1410,0,1267,0,2,224,1,1525,1,879,1,0,235,2,1292,1,1116,0,0,210,0,1461,1,1065,1,0,463,5,1719,0,1332,0,2,195,4,1645,1,1334,1,0,149,4,1607,0,8,4,11,48,03,36,0,8,18,19,49,03,15,1,6,12,26,70,03,37,0,14,10,14,47,03,10,0,4,8,14,40,03,48,1,8,12,10,55,03,21,1,16,2,10,56,03,36,1,10,15,21,43,03,17,1,14,8,11,51,03,31,0,10,4,19,34,03,22,0,36,3,14,54,03,32,1,10,2,15,21,02,13,0,8,11,19,57,03,35,1,8,3,6,18,02,17,1,4,11,24,64,03,41,1,6,6,8,22,02,12,0,6,5,9,40,03,29,1,14,8,15,14,02,21,1,6,4,1,16,02,33,0,10,3,11,38,02,14
2020020232,2021-02-13,0,0,0,0,1,1,1,1,D,11015,2,1411,0,0,146,3,1649,2,933,0,0,219,2,1361,0,1105,0,4,259,3,1410,0,1267,0,2,224,1,1525,1,879,1,0,235,2,1292,1,1116,0,0,210,0,1461,1,1065,1,0,463,5,1719,0,1332,0,2,195,4,1645,1,1334,1,0,149,4,1607,1,1376,0,0,64,2,1616,1,6,12,26,70,03,37,0,14,10,14,47,03,10,0,4,8,14,40,03,48,1,8,12,10,55,03,21,1,16,2,10,56,03,36,1,10,15,21,43,03,17,1,14,8,11,51,03,31,0,10,4,19,34,03,22,0,36,3,14,54,03,32,1,10,2,15,21,02,13,0,8,11,19,57,03,35,1,8,3,6,18,02,17,1,4,11,24,64,03,41,1,6,6,8,22,02,12,0,6,5,9,40,03,29,1,14,8,15,14,02,21,1,6,4,1,16,02,33,0,10,3,11,38,02,14,1,8,3,3,14,02,37,0,10,7,6,31,02,11
2020020217,2021-02-11,0,0,1,1,0,0,1,3,D,11013,2,933,0,0,219,2,1361,0,1105,0,4,259,3,1410,0,1267,0,2,224,1,1525,1,879,1,0,235,2,1292,1,1116,0,0,210,0,1461,1,1065,1,0,463,5,1719,0,1332,0,2,195,4,1645,1,1334,1,0,149,4,1607,1,1376,0,0,64,2,1616,0,1182,0,0,200,3,1551,0,4,8,14,40,03,48,1,8,12,10,55,03,21,1,16,2,10,56,03,36,1,10,15,21,43,03,17,1,14,8,11,51,03,31,0,10,4,19,34,03,22,0,36,3,14,54,03,32,1,10,2,15,21,02,13,0,8,11,19,57,03,35,1,8,3,6,18,02,17,1,4,11,24,64,03,41,1,6,6,8,22,02,12,0,6,5,9,40,03,29,1,14,8,15,14,02,21,1,6,4,1,16,02,33,0,10,3,11,38,02,14,1,8,3,3,14,02,37,0,10,7,6,31,02,11,0,13,8,9,29,02,37,0,6,4,4,10,02,14
2020020204,2021-02-09,0,0,0,1,0,1,1,2,D,11011,0,1105,0,4,259,3,1410,0,1267,0,2,224,1,1525,1,879,1,0,235,2,1292,1,1116,0,0,210,0,1461,1,1065,1,0,463,5,1719,0,1332,0,2,195,4,1645,1,1334,1,0,149,4,1607,1,1376,0,0,64,2,1616,0,1182,0,0,200,3,1551,2,1043,0,0,207,3,1430,1,16,2,10,56,03,36,1,10,15,21,43,03,17,1,14,8,11,51,03,31,0,10,4,19,34,03,22,0,36,3,14,54,03,32,1,10,2,15,21,02,13,0,8,11,19,57,03,35,1,8,3,6,18,02,17,1,4,11,24,64,03,41,1,6,6,8,22,02,12,0,6,5,9,40,03,29,1,14,8,15,14,02,21,1,6,4,1,16,02,33,0,10,3,11,38,02,14,1,8,3,3,14,02,37,0,10,7,6,31,02,11,0,13,8,9,29,02,37,0,6,4,4,10,02,14,0,4,2,4,24,02,32,0,6,3,4,14,02,6
2020020198,2021-02-08,0,0,1,1,0,0,1,3,D,11010,0,1267,0,2,224,1,1525,1,879,1,0,235,2,1292,1,1116,0,0,210,0,1461,1,1065,1,0,463,5,1719,0,1332,0,2,195,4,1645,1,1334,1,0,149,4,1607,1,1376,0,0,64,2,1616,0,1182,0,0,200,3,1551,2,1043,0,0,207,3,1430,0,0,0,0,0,0,0,1,14,8,11,51,03,31,0,10,4,19,34,03,22,0,36,3,14,54,03,32,1,10,2,15,21,02,13,0,8,11,19,57,03,35,1,8,3,6,18,02,17,1,4,11,24,64,03,41,1,6,6,8,22,02,12,0,6,5,9,40,03,29,1,14,8,15,14,02,21,1,6,4,1,16,02,33,0,10,3,11,38,02,14,1,8,3,3,14,02,37,0,10,7,6,31,02,11,0,13,8,9,29,02,37,0,6,4,4,10,02,14,0,4,2,4,24,02,32,0,6,3,4,14,02,6,0,8,8,10,27,02,32,1,13,6,15,13,02,8
2020020175,2021-02-05,1,0,0,0,1,1,1,1,D,11007,1,879,1,0,235,2,1292,1,1116,0,0,210,0,1461,1,1065,1,0,463,5,1719,0,1332,0,2,195,4,1645,1,1334,1,0,149,4,1607,1,1376,0,0,64,2,1616,0,1182,0,0,200,3,1551,2,1043,0,0,207,3,1430,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,36,3,14,54,03,32,1,10,2,15,21,02,13,0,8,11,19,57,03,35,1,8,3,6,18,02,17,1,4,11,24,64,03,41,1,6,6,8,22,02,12,0,6,5,9,40,03,29,1,14,8,15,14,02,21,1,6,4,1,16,02,33,0,10,3,11,38,02,14,1,8,3,3,14,02,37,0,10,7,6,31,02,11,0,13,8,9,29,02,37,0,6,4,4,10,02,14,0,4,2,4,24,02,32,0,6,3,4,14,02,6,0,8,8,10,27,02,32,1,13,6,15,13,02,8,1,30,3,2,21,02,33,1,8,5,15,25,02,13
2020020160,2021-02-03,1,0,0,1,0,1,1,2,D,11005,1,1116,0,0,210,0,1461,1,1065,1,0,463,5,1719,0,1332,0,2,195,4,1645,1,1334,1,0,149,4,1607,1,1376,0,0,64,2,1616,0,1182,0,0,200,3,1551,2,1043,0,0,207,3,1430,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,11,19,57,03,35,1,8,3,6,18,02,17,1,4,11,24,64,03,41,1,6,6,8,22,02,12,0,6,5,9,40,03,29,1,14,8,15,14,02,21,1,6,4,1,16,02,33,0,10,3,11,38,02,14,1,8,3,3,14,02,37,0,10,7,6,31,02,11,0,13,8,9,29,02,37,0,6,4,4,10,02,14,0,4,2,4,24,02,32,0,6,3,4,14,02,6,0,8,8,10,27,02,32,1,13,6,15,13,02,8,1,30,3,2,21,02,33,1,8,5,15,25,02,13,1,6,7,2,18,02,28,1,6,9,13,39,02,11
2020020146,2021-02-01,1,0,0,0,1,1,1,0,D,11003,1,1065,1,0,463,5,1719,0,1332,0,2,195,4,1645,1,1334,1,0,149,4,1607,1,1376,0,0,64,2,1616,0,1182,0,0,200,3,1551,2,1043,0,0,207,3,1430,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,4,11,24,64,03,41,1,6,6,8,22,02,12,0,6,5,9,40,03,29,1,14,8,15,14,02,21,1,6,4,1,16,02,33,0,10,3,11,38,02,14,1,8,3,3,14,02,37,0,10,7,6,31,02,11,0,13,8,9,29,02,37,0,6,4,4,10,02,14,0,4,2,4,24,02,32,0,6,3,4,14,02,6,0,8,8,10,27,02,32,1,13,6,15,13,02,8,1,30,3,2,21,02,33,1,8,5,15,25,02,13,1,6,7,2,18,02,28,1,6,9,13,39,02,11,1,8,3,4,18,02,27,1,8,9,21,13,02,12
