game_id,game_date,is_home_game,shots_this_game_O3.5,shots_this_game_O2.5,shots_this_game_O1.5,shots_this_game_U1.5,shots_this_game_U2.5,shots_this_game_U3.5,shots_this_game_total,primary_position,days_old,assists-1-games_back,evenTimeOnIce-1-games_back,goals-1-games_back,penaltyMinutes-1-games_back,powerPlayTimeOnIce-1-games_back,shots-1-games_back,timeOnIce-1-games_back,assists-2-games_back,evenTimeOnIce-2-games_back,goals-2-games_back,penaltyMinutes-2-games_back,powerPlayTimeOnIce-2-games_back,shots-2-games_back,timeOnIce-2-games_back,assists-3-games_back,evenTimeOnIce-3-games_back,goals-3-games_back,penaltyMinutes-3-games_back,powerPlayTimeOnIce-3-games_back,shots-3-games_back,timeOnIce-3-games_back,assists-4-games_back,evenTimeOnIce-4-games_back,goals-4-games_back,penaltyMinutes-4-games_back,powerPlayTimeOnIce-4-games_back,shots-4-games_back,timeOnIce-4-games_back,assists-5-games_back,evenTimeOnIce-5-games_back,goals-5-games_back,penaltyMinutes-5-games_back,powerPlayTimeOnIce-5-games_back,shots-5-games_back,timeOnIce-5-games_back,assists-6-games_back,evenTimeOnIce-6-games_back,goals-6-games_back,penaltyMinutes-6-games_back,powerPlayTimeOnIce-6-games_back,shots-6-games_back,timeOnIce-6-games_back,assists-7-games_back,evenTimeOnIce-7-games_back,goals-7-games_back,penaltyMinutes-7-games_back,powerPlayTimeOnIce-7-games_back,shots-7-games_back,timeOnIce-7-games_back,assists-8-games_back,evenTimeOnIce-8-games_back,goals-8-games_back,penaltyMinutes-8-games_back,powerPlayTimeOnIce-8-games_back,shots-8-games_back,timeOnIce-8-games_back,assists-9-games_back,evenTimeOnIce-9-games_back,goals-9-games_back,penaltyMinutes-9-games_back,powerPlayTimeOnIce-9-games_back,shots-9-games_back,timeOnIce-9-games_back,assists-10-games_back,evenTimeOnIce-10-games_back,goals-10-games_back,penaltyMinutes-10-games_back,powerPlayTimeOnIce-10-games_back,shots-10-games_back,timeOnIce-10-games_back,home-ply-1-games_back,pim-ply-1-games_back,takeaways-ply-1-games_back,giveaways-ply-1-games_back,hits-ply-1-games_back,game_type-ply-1-games_back,shots-ply-1-games_back,home-opp-1-games_back,pim-opp-1-games_back,takeaways-opp-1-games_back,giveaways-opp-1-games_back,hits-opp-1-games_back,game_type-opp-1-games_back,blocked-opp-1-games_back,home-ply-2-games_back,pim-ply-2-games_back,takeaways-ply-2-games_back,giveaways-ply-2-games_back,hits-ply-2-games_back,game_type-ply-2-games_back,shots-ply-2-games_back,home-opp-2-games_back,pim-opp-2-games_back,takeaways-opp-2-games_back,giveaways-opp-2-games_back,hits-opp-2-games_back,game_type-opp-2-games_back,blocked-opp-2-games_back,home-ply-3-games_back,pim-ply-3-games_back,takeaways-ply-3-games_back,giveaways-ply-3-games_back,hits-ply-3-games_back,game_type-ply-3-games_back,shots-ply-3-games_back,home-opp-3-games_back,pim-opp-3-games_back,takeaways-opp-3-games_back,giveaways-opp-3-games_back,hits-opp-3-games_back,game_type-opp-3-games_back,blocked-opp-3-games_back,home-ply-4-games_back,pim-ply-4-games_back,takeaways-ply-4-games_back,giveaways-ply-4-games_back,hits-ply-4-games_back,game_type-ply-4-games_back,shots-ply-4-games_back,home-opp-4-games_back,pim-opp-4-games_back,takeaways-opp-4-games_back,giveaways-opp-4-games_back,hits-opp-4-games_back,game_type-opp-4-games_back,blocked-opp-4-games_back,home-ply-5-games_back,pim-ply-5-games_back,takeaways-ply-5-games_back,giveaways-ply-5-games_back,hits-ply-5-games_back,game_type-ply-5-games_back,shots-ply-5-games_back,home-opp-5-games_back,pim-opp-5-games_back,takeaways-opp-5-games_back,giveaways-opp-5-games_back,hits-opp-5-games_back,game_type-opp-5-games_back,blocked-opp-5-games_back,home-ply-6-games_back,pim-ply-6-games_back,takeaways-ply-6-games_back,giveaways-ply-6-games_back,hits-ply-6-games_back,game_type-ply-6-games_back,shots-ply-6-games_back,home-opp-6-games_back,pim-opp-6-games_back,takeaways-opp-6-games_back,giveaways-opp-6-games_back,hits-opp-6-games_back,game_type-opp-6-games_back,blocked-opp-6-games_back,home-ply-7-games_back,pim-ply-7-games_back,takeaways-ply-7-games_back,giveaways-ply-7-games_back,hits-ply-7-games_back,game_type-ply-7-games_back,shots-ply-7-games_back,home-opp-7-games_back,pim-opp-7-games_back,takeaways-opp-7-games_back,giveaways-opp-7-games_back,hits-opp-7-games_back,game_type-opp-7-games_back,blocked-opp-7-games_back,home-ply-8-games_back,pim-ply-8-games_back,takeaways-ply-8-games_back,giveaways-ply-8-games_back,hits-ply-8-games_back,game_type-ply-8-games_back,shots-ply-8-games_back,home-opp-8-games_back,pim-opp-8-games_back,takeaways-opp-8-games_back,giveaways-opp-8-games_back,hits-opp-8-games_back,game_type-opp-8-games_back,blocked-opp-8-games_back,home-ply-9-games_back,pim-ply-9-games_back,takeaways-ply-9-games_back,giveaways-ply-9-games_back,hits-ply-9-games_back,game_type-ply-9-games_back,shots-ply-9-games_back,home-opp-9-games_back,pim-opp-9-games_back,takeaways-opp-9-games_back,giveaways-opp-9-games_back,hits-opp-9-games_back,game_type-opp-9-games_back,blocked-opp-9-games_back,home-ply-10-games_back,pim-ply-10-games_back,takeaways-ply-10-games_back,giveaways-ply-10-games_back,hits-ply-10-games_back,game_type-ply-10-games_back,shots-ply-10-games_back,home-opp-10-games_back,pim-opp-10-games_back,takeaways-opp-10-games_back,giveaways-opp-10-games_back,hits-opp-10-games_back,game_type-opp-10-games_back,blocked-opp-10-games_back
2020020468,2021-03-18,1,0,0,0,1,1,1,0,D,9639,0,1084,0,0,129,3,1447,0,1087,0,0,65,1,1302,0,1166,0,0,80,3,1326,0,1135,0,0,116,2,1381,0,1060,0,2,220,1,1431,0,1039,0,0,21,0,1132,0,1144,0,0,0,1,1144,0,1095,1,4,0,3,1134,1,1297,0,0,30,4,1441,0,1180,0,2,34,2,1261,1,0,3,7,15,02,31,1,11,6,13,23,02,7,0,2,2,6,28,02,37,0,12,7,10,21,02,18,0,4,4,5,18,02,40,0,6,0,11,24,02,14,0,4,2,3,20,02,27,1,4,11,7,12,02,6,0,6,2,1,11,02,48,1,10,10,12,10,02,4,1,6,8,3,17,02,24,1,4,6,7,14,02,9,1,8,4,12,16,02,25,0,5,1,14,21,02,17,1,10,12,2,17,02,31,0,10,8,9,24,02,13,1,6,9,10,15,02,33,0,8,5,7,19,02,10,1,4,3,6,15,02,21,1,4,6,13,8,02,11
2020020457,2021-03-16,0,0,1,1,0,0,1,3,D,9637,0,1087,0,0,65,1,1302,0,1166,0,0,80,3,1326,0,1135,0,0,116,2,1381,0,1060,0,2,220,1,1431,0,1039,0,0,21,0,1132,0,1144,0,0,0,1,1144,0,1095,1,4,0,3,1134,1,1297,0,0,30,4,1441,0,1180,0,2,34,2,1261,0,1075,0,0,89,1,1338,0,2,2,6,28,02,37,0,12,7,10,21,02,18,0,4,4,5,18,02,40,0,6,0,11,24,02,14,0,4,2,3,20,02,27,1,4,11,7,12,02,6,0,6,2,1,11,02,48,1,10,10,12,10,02,4,1,6,8,3,17,02,24,1,4,6,7,14,02,9,1,8,4,12,16,02,25,0,5,1,14,21,02,17,1,10,12,2,17,02,31,0,10,8,9,24,02,13,1,6,9,10,15,02,33,0,8,5,7,19,02,10,1,4,3,6,15,02,21,1,4,6,13,8,02,11,1,4,6,10,22,02,20,1,11,9,5,17,02,6
2020020214,2021-03-15,1,0,0,0,1,1,1,1,D,9636,0,1166,0,0,80,3,1326,0,1135,0,0,116,2,1381,0,1060,0,2,220,1,1431,0,1039,0,0,21,0,1132,0,1144,0,0,0,1,1144,0,1095,1,4,0,3,1134,1,1297,0,0,30,4,1441,0,1180,0,2,34,2,1261,0,1075,0,0,89,1,1338,1,1209,1,0,252,4,1691,0,4,4,5,18,02,40,0,6,0,11,24,02,14,0,4,2,3,20,02,27,1,4,11,7,12,02,6,0,6,2,1,11,02,48,1,10,10,12,10,02,4,1,6,8,3,17,02,24,1,4,6,7,14,02,9,1,8,4,12,16,02,25,0,5,1,14,21,02,17,1,10,12,2,17,02,31,0,10,8,9,24,02,13,1,6,9,10,15,02,33,0,8,5,7,19,02,10,1,4,3,6,15,02,21,1,4,6,13,8,02,11,1,4,6,10,22,02,20,1,11,9,5,17,02,6,0,2,5,10,17,02,23,1,2,9,23,16,02,7
2020020431,2021-03-13,1,0,1,1,0,0,1,3,D,9634,0,1135,0,0,116,2,1381,0,1060,0,2,220,1,1431,0,1039,0,0,21,0,1132,0,1144,0,0,0,1,1144,0,1095,1,4,0,3,1134,1,1297,0,0,30,4,1441,0,1180,0,2,34,2,1261,0,1075,0,0,89,1,1338,1,1209,1,0,252,4,1691,0,1132,0,0,201,3,1610,0,4,2,3,20,02,27,1,4,11,7,12,02,6,0,6,2,1,11,02,48,1,10,10,12,10,02,4,1,6,8,3,17,02,24,1,4,6,7,14,02,9,1,8,4,12,16,02,25,0,5,1,14,21,02,17,1,10,12,2,17,02,31,0,10,8,9,24,02,13,1,6,9,10,15,02,33,0,8,5,7,19,02,10,1,4,3,6,15,02,21,1,4,6,13,8,02,11,1,4,6,10,22,02,20,1,11,9,5,17,02,6,0,2,5,10,17,02,23,1,2,9,23,16,02,7,0,6,3,3,19,02,29,1,9,12,18,18,02,4
2020020416,2021-03-11,1,0,0,1,0,1,1,2,D,9632,0,1060,0,2,220,1,1431,0,1039,0,0,21,0,1132,0,1144,0,0,0,1,1144,0,1095,1,4,0,3,1134,1,1297,0,0,30,4,1441,0,1180,0,2,34,2,1261,0,1075,0,0,89,1,1338,1,1209,1,0,252,4,1691,0,1132,0,0,201,3,1610,0,1016,0,0,143,1,1421,0,6,2,1,11,02,48,1,10,10,12,10,02,4,1,6,8,3,17,02,24,1,4,6,7,14,02,9,1,8,4,12,16,02,25,0,5,1,14,21,02,17,1,10,12,2,17,02,31,0,10,8,9,24,02,13,1,6,9,10,15,02,33,0,8,5,7,19,02,10,1,4,3,6,15,02,21,1,4,6,13,8,02,11,1,4,6,10,22,02,20,1,11,9,5,17,02,6,0,2,5,10,17,02,23,1,2,9,23,16,02,7,0,6,3,3,19,02,29,1,9,12,18,18,02,4,0,4,6,6,14,02,36,1,10,11,26,23,02,5
2020020402,2021-03-09,0,0,0,0,1,1,1,1,D,9630,0,1039,0,0,21,0,1132,0,1144,0,0,0,1,1144,0,1095,1,4,0,3,1134,1,1297,0,0,30,4,1441,0,1180,0,2,34,2,1261,0,1075,0,0,89,1,1338,1,1209,1,0,252,4,1691,0,1132,0,0,201,3,1610,0,1016,0,0,143,1,1421,1,1121,0,0,83,1,1400,1,6,8,3,17,02,24,1,4,6,7,14,02,9,1,8,4,12,16,02,25,0,5,1,14,21,02,17,1,10,12,2,17,02,31,0,10,8,9,24,02,13,1,6,9,10,15,02,33,0,8,5,7,19,02,10,1,4,3,6,15,02,21,1,4,6,13,8,02,11,1,4,6,10,22,02,20,1,11,9,5,17,02,6,0,2,5,10,17,02,23,1,2,9,23,16,02,7,0,6,3,3,19,02,29,1,9,12,18,18,02,4,0,4,6,6,14,02,36,1,10,11,26,23,02,5,0,4,5,4,18,02,37,0,4,12,9,19,02,13
2020020391,2021-03-07,0,0,0,0,1,1,1,0,D,9628,0,1144,0,0,0,1,1144,0,1095,1,4,0,3,1134,1,1297,0,0,30,4,1441,0,1180,0,2,34,2,1261,0,1075,0,0,89,1,1338,1,1209,1,0,252,4,1691,0,1132,0,0,201,3,1610,0,1016,0,0,143,1,1421,1,1121,0,0,83,1,1400,2,1197,0,2,83,1,1453,1,8,4,12,16,02,25,0,5,1,14,21,02,17,1,10,12,2,17,02,31,0,10,8,9,24,02,13,1,6,9,10,15,02,33,0,8,5,7,19,02,10,1,4,3,6,15,02,21,1,4,6,13,8,02,11,1,4,6,10,22,02,20,1,11,9,5,17,02,6,0,2,5,10,17,02,23,1,2,9,23,16,02,7,0,6,3,3,19,02,29,1,9,12,18,18,02,4,0,4,6,6,14,02,36,1,10,11,26,23,02,5,0,4,5,4,18,02,37,0,4,12,9,19,02,13,1,8,7,10,14,02,32,0,6,6,8,18,02,17
2020020375,2021-03-06,0,0,0,0,1,1,1,1,D,9627,0,1095,1,4,0,3,1134,1,1297,0,0,30,4,1441,0,1180,0,2,34,2,1261,0,1075,0,0,89,1,1338,1,1209,1,0,252,4,1691,0,1132,0,0,201,3,1610,0,1016,0,0,143,1,1421,1,1121,0,0,83,1,1400,2,1197,0,2,83,1,1453,0,1496,0,2,103,2,1599,1,10,12,2,17,02,31,0,10,8,9,24,02,13,1,6,9,10,15,02,33,0,8,5,7,19,02,10,1,4,3,6,15,02,21,1,4,6,13,8,02,11,1,4,6,10,22,02,20,1,11,9,5,17,02,6,0,2,5,10,17,02,23,1,2,9,23,16,02,7,0,6,3,3,19,02,29,1,9,12,18,18,02,4,0,4,6,6,14,02,36,1,10,11,26,23,02,5,0,4,5,4,18,02,37,0,4,12,9,19,02,13,1,8,7,10,14,02,32,0,6,6,8,18,02,17,1,6,6,7,13,02,23,0,10,4,13,24,02,13
2020020163,2021-03-04,0,0,1,1,0,0,1,3,D,9625,1,1297,0,0,30,4,1441,0,1180,0,2,34,2,1261,0,1075,0,0,89,1,1338,1,1209,1,0,252,4,1691,0,1132,0,0,201,3,1610,0,1016,0,0,143,1,1421,1,1121,0,0,83,1,1400,2,1197,0,2,83,1,1453,0,1496,0,2,103,2,1599,0,969,0,2,83,3,1131,1,6,9,10,15,02,33,0,8,5,7,19,02,10,1,4,3,6,15,02,21,1,4,6,13,8,02,11,1,4,6,10,22,02,20,1,11,9,5,17,02,6,0,2,5,10,17,02,23,1,2,9,23,16,02,7,0,6,3,3,19,02,29,1,9,12,18,18,02,4,0,4,6,6,14,02,36,1,10,11,26,23,02,5,0,4,5,4,18,02,37,0,4,12,9,19,02,13,1,8,7,10,14,02,32,0,6,6,8,18,02,17,1,6,6,7,13,02,23,0,10,4,13,24,02,13,1,4,3,7,19,02,28,1,8,12,19,20,02,10
2020020354,2021-03-02,0,1,1,1,0,0,0,4,D,9623,0,1180,0,2,34,2,1261,0,1075,0,0,89,1,1338,1,1209,1,0,252,4,1691,0,1132,0,0,201,3,1610,0,1016,0,0,143,1,1421,1,1121,0,0,83,1,1400,2,1197,0,2,83,1,1453,0,1496,0,2,103,2,1599,0,969,0,2,83,3,1131,0,1084,0,0,87,1,1243,1,4,3,6,15,02,21,1,4,6,13,8,02,11,1,4,6,10,22,02,20,1,11,9,5,17,02,6,0,2,5,10,17,02,23,1,2,9,23,16,02,7,0,6,3,3,19,02,29,1,9,12,18,18,02,4,0,4,6,6,14,02,36,1,10,11,26,23,02,5,0,4,5,4,18,02,37,0,4,12,9,19,02,13,1,8,7,10,14,02,32,0,6,6,8,18,02,17,1,6,6,7,13,02,23,0,10,4,13,24,02,13,1,4,3,7,19,02,28,1,8,12,19,20,02,10,0,9,6,8,24,02,24,1,10,9,13,22,02,7
