game_id,game_date,is_home_game,shots_this_game_O3.5,shots_this_game_O2.5,shots_this_game_O1.5,shots_this_game_U1.5,shots_this_game_U2.5,shots_this_game_U3.5,shots_this_game_total,primary_position,days_old,assists-1-games_back,evenTimeOnIce-1-games_back,goals-1-games_back,penaltyMinutes-1-games_back,powerPlayTimeOnIce-1-games_back,shots-1-games_back,timeOnIce-1-games_back,assists-2-games_back,evenTimeOnIce-2-games_back,goals-2-games_back,penaltyMinutes-2-games_back,powerPlayTimeOnIce-2-games_back,shots-2-games_back,timeOnIce-2-games_back,assists-3-games_back,evenTimeOnIce-3-games_back,goals-3-games_back,penaltyMinutes-3-games_back,powerPlayTimeOnIce-3-games_back,shots-3-games_back,timeOnIce-3-games_back,assists-4-games_back,evenTimeOnIce-4-games_back,goals-4-games_back,penaltyMinutes-4-games_back,powerPlayTimeOnIce-4-games_back,shots-4-games_back,timeOnIce-4-games_back,assists-5-games_back,evenTimeOnIce-5-games_back,goals-5-games_back,penaltyMinutes-5-games_back,powerPlayTimeOnIce-5-games_back,shots-5-games_back,timeOnIce-5-games_back,assists-6-games_back,evenTimeOnIce-6-games_back,goals-6-games_back,penaltyMinutes-6-games_back,powerPlayTimeOnIce-6-games_back,shots-6-games_back,timeOnIce-6-games_back,assists-7-games_back,evenTimeOnIce-7-games_back,goals-7-games_back,penaltyMinutes-7-games_back,powerPlayTimeOnIce-7-games_back,shots-7-games_back,timeOnIce-7-games_back,assists-8-games_back,evenTimeOnIce-8-games_back,goals-8-games_back,penaltyMinutes-8-games_back,powerPlayTimeOnIce-8-games_back,shots-8-games_back,timeOnIce-8-games_back,assists-9-games_back,evenTimeOnIce-9-games_back,goals-9-games_back,penaltyMinutes-9-games_back,powerPlayTimeOnIce-9-games_back,shots-9-games_back,timeOnIce-9-games_back,assists-10-games_back,evenTimeOnIce-10-games_back,goals-10-games_back,penaltyMinutes-10-games_back,powerPlayTimeOnIce-10-games_back,shots-10-games_back,timeOnIce-10-games_back,home-ply-1-games_back,pim-ply-1-games_back,takeaways-ply-1-games_back,giveaways-ply-1-games_back,hits-ply-1-games_back,game_type-ply-1-games_back,shots-ply-1-games_back,home-opp-1-games_back,pim-opp-1-games_back,takeaways-opp-1-games_back,giveaways-opp-1-games_back,hits-opp-1-games_back,game_type-opp-1-games_back,blocked-opp-1-games_back,home-ply-2-games_back,pim-ply-2-games_back,takeaways-ply-2-games_back,giveaways-ply-2-games_back,hits-ply-2-games_back,game_type-ply-2-games_back,shots-ply-2-games_back,home-opp-2-games_back,pim-opp-2-games_back,takeaways-opp-2-games_back,giveaways-opp-2-games_back,hits-opp-2-games_back,game_type-opp-2-games_back,blocked-opp-2-games_back,home-ply-3-games_back,pim-ply-3-games_back,takeaways-ply-3-games_back,giveaways-ply-3-games_back,hits-ply-3-games_back,game_type-ply-3-games_back,shots-ply-3-games_back,home-opp-3-games_back,pim-opp-3-games_back,takeaways-opp-3-games_back,giveaways-opp-3-games_back,hits-opp-3-games_back,game_type-opp-3-games_back,blocked-opp-3-games_back,home-ply-4-games_back,pim-ply-4-games_back,takeaways-ply-4-games_back,giveaways-ply-4-games_back,hits-ply-4-games_back,game_type-ply-4-games_back,shots-ply-4-games_back,home-opp-4-games_back,pim-opp-4-games_back,takeaways-opp-4-games_back,giveaways-opp-4-games_back,hits-opp-4-games_back,game_type-opp-4-games_back,blocked-opp-4-games_back,home-ply-5-games_back,pim-ply-5-games_back,takeaways-ply-5-games_back,giveaways-ply-5-games_back,hits-ply-5-games_back,game_type-ply-5-games_back,shots-ply-5-games_back,home-opp-5-games_back,pim-opp-5-games_back,takeaways-opp-5-games_back,giveaways-opp-5-games_back,hits-opp-5-games_back,game_type-opp-5-games_back,blocked-opp-5-games_back,home-ply-6-games_back,pim-ply-6-games_back,takeaways-ply-6-games_back,giveaways-ply-6-games_back,hits-ply-6-games_back,game_type-ply-6-games_back,shots-ply-6-games_back,home-opp-6-games_back,pim-opp-6-games_back,takeaways-opp-6-games_back,giveaways-opp-6-games_back,hits-opp-6-games_back,game_type-opp-6-games_back,blocked-opp-6-games_back,home-ply-7-games_back,pim-ply-7-games_back,takeaways-ply-7-games_back,giveaways-ply-7-games_back,hits-ply-7-games_back,game_type-ply-7-games_back,shots-ply-7-games_back,home-opp-7-games_back,pim-opp-7-games_back,takeaways-opp-7-games_back,giveaways-opp-7-games_back,hits-opp-7-games_back,game_type-opp-7-games_back,blocked-opp-7-games_back,home-ply-8-games_back,pim-ply-8-games_back,takeaways-ply-8-games_back,giveaways-ply-8-games_back,hits-ply-8-games_back,game_type-ply-8-games_back,shots-ply-8-games_back,home-opp-8-games_back,pim-opp-8-games_back,takeaways-opp-8-games_back,giveaways-opp-8-games_back,hits-opp-8-games_back,game_type-opp-8-games_back,blocked-opp-8-games_back,home-ply-9-games_back,pim-ply-9-games_back,takeaways-ply-9-games_back,giveaways-ply-9-games_back,hits-ply-9-games_back,game_type-ply-9-games_back,shots-ply-9-games_back,home-opp-9-games_back,pim-opp-9-games_back,takeaways-opp-9-games_back,giveaways-opp-9-games_back,hits-opp-9-games_back,game_type-opp-9-games_back,blocked-opp-9-games_back,home-ply-10-games_back,pim-ply-10-games_back,takeaways-ply-10-games_back,giveaways-ply-10-games_back,hits-ply-10-games_back,game_type-ply-10-games_back,shots-ply-10-games_back,home-opp-10-games_back,pim-opp-10-games_back,takeaways-opp-10-games_back,giveaways-opp-10-games_back,hits-opp-10-games_back,game_type-opp-10-games_back,blocked-opp-10-games_back
2020020473,2021-03-18,1,0,0,0,1,1,1,1,R,9680,0,969,0,2,145,2,1114,0,1227,1,0,122,4,1349,2,777,1,0,222,2,999,0,714,0,5,156,1,911,0,1004,0,0,239,6,1243,0,981,1,0,146,3,1190,0,831,0,0,55,2,886,0,896,0,0,66,1,962,0,886,0,0,171,1,1069,0,1137,0,0,82,0,1219,1,10,5,9,14,02,21,1,12,5,10,33,03,13,1,22,5,13,14,02,37,0,6,9,7,17,03,15,1,4,3,11,12,02,27,0,10,9,14,51,03,28,0,10,9,12,31,02,31,0,8,9,8,35,03,18,0,4,10,10,34,02,27,1,10,13,13,35,03,19,0,8,6,9,18,02,21,1,6,11,14,37,03,18,0,6,1,9,8,02,23,0,8,7,7,33,03,10,1,6,7,10,14,02,27,0,10,2,6,10,02,12,1,10,1,2,11,02,34,1,6,14,18,25,02,15,0,8,0,1,15,02,16,1,12,4,6,26,02,12
2020020460,2021-03-16,1,0,0,1,0,1,1,2,R,9678,0,1227,1,0,122,4,1349,2,777,1,0,222,2,999,0,714,0,5,156,1,911,0,1004,0,0,239,6,1243,0,981,1,0,146,3,1190,0,831,0,0,55,2,886,0,896,0,0,66,1,962,0,886,0,0,171,1,1069,0,1137,0,0,82,0,1219,0,1000,0,0,147,1,1147,1,22,5,13,14,02,37,0,6,9,7,17,03,15,1,4,3,11,12,02,27,0,10,9,14,51,03,28,0,10,9,12,31,02,31,0,8,9,8,35,03,18,0,4,10,10,34,02,27,1,10,13,13,35,03,19,0,8,6,9,18,02,21,1,6,11,14,37,03,18,0,6,1,9,8,02,23,0,8,7,7,33,03,10,1,6,7,10,14,02,27,0,10,2,6,10,02,12,1,10,1,2,11,02,34,1,6,14,18,25,02,15,0,8,0,1,15,02,16,1,12,4,6,26,02,12,0,6,0,3,20,02,28,1,10,10,6,17,02,9
2020020442,2021-03-14,1,1,1,1,0,0,0,4,R,9676,2,777,1,0,222,2,999,0,714,0,5,156,1,911,0,1004,0,0,239,6,1243,0,981,1,0,146,3,1190,0,831,0,0,55,2,886,0,896,0,0,66,1,962,0,886,0,0,171,1,1069,0,1137,0,0,82,0,1219,0,1000,0,0,147,1,1147,0,655,0,0,191,3,846,1,4,3,11,12,02,27,0,10,9,14,51,03,28,0,10,9,12,31,02,31,0,8,9,8,35,03,18,0,4,10,10,34,02,27,1,10,13,13,35,03,19,0,8,6,9,18,02,21,1,6,11,14,37,03,18,0,6,1,9,8,02,23,0,8,7,7,33,03,10,1,6,7,10,14,02,27,0,10,2,6,10,02,12,1,10,1,2,11,02,34,1,6,14,18,25,02,15,0,8,0,1,15,02,16,1,12,4,6,26,02,12,0,6,0,3,20,02,28,1,10,10,6,17,02,9,0,11,8,2,24,02,39,0,4,9,10,33,02,16
2020020421,2021-03-11,1,0,0,1,0,1,1,2,R,9673,0,714,0,5,156,1,911,0,1004,0,0,239,6,1243,0,981,1,0,146,3,1190,0,831,0,0,55,2,886,0,896,0,0,66,1,962,0,886,0,0,171,1,1069,0,1137,0,0,82,0,1219,0,1000,0,0,147,1,1147,0,655,0,0,191,3,846,0,827,0,0,204,2,1031,0,10,9,12,31,02,31,0,8,9,8,35,03,18,0,4,10,10,34,02,27,1,10,13,13,35,03,19,0,8,6,9,18,02,21,1,6,11,14,37,03,18,0,6,1,9,8,02,23,0,8,7,7,33,03,10,1,6,7,10,14,02,27,0,10,2,6,10,02,12,1,10,1,2,11,02,34,1,6,14,18,25,02,15,0,8,0,1,15,02,16,1,12,4,6,26,02,12,0,6,0,3,20,02,28,1,10,10,6,17,02,9,0,11,8,2,24,02,39,0,4,9,10,33,02,16,0,2,6,1,28,02,32,0,10,5,6,21,02,17
2020020407,2021-03-09,1,0,0,0,1,1,1,1,R,9671,0,1004,0,0,239,6,1243,0,981,1,0,146,3,1190,0,831,0,0,55,2,886,0,896,0,0,66,1,962,0,886,0,0,171,1,1069,0,1137,0,0,82,0,1219,0,1000,0,0,147,1,1147,0,655,0,0,191,3,846,0,827,0,0,204,2,1031,0,948,0,0,113,1,1076,0,4,10,10,34,02,27,1,10,13,13,35,03,19,0,8,6,9,18,02,21,1,6,11,14,37,03,18,0,6,1,9,8,02,23,0,8,7,7,33,03,10,1,6,7,10,14,02,27,0,10,2,6,10,02,12,1,10,1,2,11,02,34,1,6,14,18,25,02,15,0,8,0,1,15,02,16,1,12,4,6,26,02,12,0,6,0,3,20,02,28,1,10,10,6,17,02,9,0,11,8,2,24,02,39,0,4,9,10,33,02,16,0,2,6,1,28,02,32,0,10,5,6,21,02,17,0,8,3,6,12,02,26,0,15,9,4,23,02,9
2020020365,2021-03-04,0,1,1,1,0,0,0,6,R,9666,0,981,1,0,146,3,1190,0,831,0,0,55,2,886,0,896,0,0,66,1,962,0,886,0,0,171,1,1069,0,1137,0,0,82,0,1219,0,1000,0,0,147,1,1147,0,655,0,0,191,3,846,0,827,0,0,204,2,1031,0,948,0,0,113,1,1076,0,885,1,0,108,3,993,0,8,6,9,18,02,21,1,6,11,14,37,03,18,0,6,1,9,8,02,23,0,8,7,7,33,03,10,1,6,7,10,14,02,27,0,10,2,6,10,02,12,1,10,1,2,11,02,34,1,6,14,18,25,02,15,0,8,0,1,15,02,16,1,12,4,6,26,02,12,0,6,0,3,20,02,28,1,10,10,6,17,02,9,0,11,8,2,24,02,39,0,4,9,10,33,02,16,0,2,6,1,28,02,32,0,10,5,6,21,02,17,0,8,3,6,12,02,26,0,15,9,4,23,02,9,0,4,6,5,13,02,30,0,2,6,3,21,02,12
2020020356,2021-03-02,0,0,1,1,0,0,1,3,R,9664,0,831,0,0,55,2,886,0,896,0,0,66,1,962,0,886,0,0,171,1,1069,0,1137,0,0,82,0,1219,0,1000,0,0,147,1,1147,0,655,0,0,191,3,846,0,827,0,0,204,2,1031,0,948,0,0,113,1,1076,0,885,1,0,108,3,993,1,957,0,0,210,4,1170,0,6,1,9,8,02,23,0,8,7,7,33,03,10,1,6,7,10,14,02,27,0,10,2,6,10,02,12,1,10,1,2,11,02,34,1,6,14,18,25,02,15,0,8,0,1,15,02,16,1,12,4,6,26,02,12,0,6,0,3,20,02,28,1,10,10,6,17,02,9,0,11,8,2,24,02,39,0,4,9,10,33,02,16,0,2,6,1,28,02,32,0,10,5,6,21,02,17,0,8,3,6,12,02,26,0,15,9,4,23,02,9,0,4,6,5,13,02,30,0,2,6,3,21,02,12,1,6,1,8,11,02,29,0,10,4,13,19,02,17
2020020343,2021-02-28,0,0,0,1,0,1,1,2,R,9662,0,896,0,0,66,1,962,0,886,0,0,171,1,1069,0,1137,0,0,82,0,1219,0,1000,0,0,147,1,1147,0,655,0,0,191,3,846,0,827,0,0,204,2,1031,0,948,0,0,113,1,1076,0,885,1,0,108,3,993,1,957,0,0,210,4,1170,0,865,0,0,198,4,1063,1,6,7,10,14,02,27,0,10,2,6,10,02,12,1,10,1,2,11,02,34,1,6,14,18,25,02,15,0,8,0,1,15,02,16,1,12,4,6,26,02,12,0,6,0,3,20,02,28,1,10,10,6,17,02,9,0,11,8,2,24,02,39,0,4,9,10,33,02,16,0,2,6,1,28,02,32,0,10,5,6,21,02,17,0,8,3,6,12,02,26,0,15,9,4,23,02,9,0,4,6,5,13,02,30,0,2,6,3,21,02,12,1,6,1,8,11,02,29,0,10,4,13,19,02,17,1,8,4,7,26,02,29,0,6,5,12,17,02,20
2020020331,2021-02-27,0,0,0,0,1,1,1,1,R,9661,0,886,0,0,171,1,1069,0,1137,0,0,82,0,1219,0,1000,0,0,147,1,1147,0,655,0,0,191,3,846,0,827,0,0,204,2,1031,0,948,0,0,113,1,1076,0,885,1,0,108,3,993,1,957,0,0,210,4,1170,0,865,0,0,198,4,1063,0,784,0,0,111,2,910,1,10,1,2,11,02,34,1,6,14,18,25,02,15,0,8,0,1,15,02,16,1,12,4,6,26,02,12,0,6,0,3,20,02,28,1,10,10,6,17,02,9,0,11,8,2,24,02,39,0,4,9,10,33,02,16,0,2,6,1,28,02,32,0,10,5,6,21,02,17,0,8,3,6,12,02,26,0,15,9,4,23,02,9,0,4,6,5,13,02,30,0,2,6,3,21,02,12,1,6,1,8,11,02,29,0,10,4,13,19,02,17,1,8,4,7,26,02,29,0,6,5,12,17,02,20,1,4,1,10,12,02,32,1,6,10,7,21,02,11
2020020317,2021-02-25,1,0,0,0,1,1,1,1,R,9659,0,1137,0,0,82,0,1219,0,1000,0,0,147,1,1147,0,655,0,0,191,3,846,0,827,0,0,204,2,1031,0,948,0,0,113,1,1076,0,885,1,0,108,3,993,1,957,0,0,210,4,1170,0,865,0,0,198,4,1063,0,784,0,0,111,2,910,0,608,1,4,236,2,869,0,8,0,1,15,02,16,1,12,4,6,26,02,12,0,6,0,3,20,02,28,1,10,10,6,17,02,9,0,11,8,2,24,02,39,0,4,9,10,33,02,16,0,2,6,1,28,02,32,0,10,5,6,21,02,17,0,8,3,6,12,02,26,0,15,9,4,23,02,9,0,4,6,5,13,02,30,0,2,6,3,21,02,12,1,6,1,8,11,02,29,0,10,4,13,19,02,17,1,8,4,7,26,02,29,0,6,5,12,17,02,20,1,4,1,10,12,02,32,1,6,10,7,21,02,11,1,6,1,3,13,02,27,1,8,8,15,18,02,10
2020020305,2021-02-23,1,0,0,0,1,1,1,0,R,9657,0,1000,0,0,147,1,1147,0,655,0,0,191,3,846,0,827,0,0,204,2,1031,0,948,0,0,113,1,1076,0,885,1,0,108,3,993,1,957,0,0,210,4,1170,0,865,0,0,198,4,1063,0,784,0,0,111,2,910,0,608,1,4,236,2,869,0,1193,1,0,211,5,1404,0,6,0,3,20,02,28,1,10,10,6,17,02,9,0,11,8,2,24,02,39,0,4,9,10,33,02,16,0,2,6,1,28,02,32,0,10,5,6,21,02,17,0,8,3,6,12,02,26,0,15,9,4,23,02,9,0,4,6,5,13,02,30,0,2,6,3,21,02,12,1,6,1,8,11,02,29,0,10,4,13,19,02,17,1,8,4,7,26,02,29,0,6,5,12,17,02,20,1,4,1,10,12,02,32,1,6,10,7,21,02,11,1,6,1,3,13,02,27,1,8,8,15,18,02,10,1,8,2,11,16,02,24,1,8,13,10,24,02,7
2020020292,2021-02-20,1,0,0,0,1,1,1,1,R,9654,0,655,0,0,191,3,846,0,827,0,0,204,2,1031,0,948,0,0,113,1,1076,0,885,1,0,108,3,993,1,957,0,0,210,4,1170,0,865,0,0,198,4,1063,0,784,0,0,111,2,910,0,608,1,4,236,2,869,0,1193,1,0,211,5,1404,0,955,1,0,139,4,1094,0,11,8,2,24,02,39,0,4,9,10,33,02,16,0,2,6,1,28,02,32,0,10,5,6,21,02,17,0,8,3,6,12,02,26,0,15,9,4,23,02,9,0,4,6,5,13,02,30,0,2,6,3,21,02,12,1,6,1,8,11,02,29,0,10,4,13,19,02,17,1,8,4,7,26,02,29,0,6,5,12,17,02,20,1,4,1,10,12,02,32,1,6,10,7,21,02,11,1,6,1,3,13,02,27,1,8,8,15,18,02,10,1,8,2,11,16,02,24,1,8,13,10,24,02,7,1,8,4,9,15,02,32,1,2,16,12,27,02,14
2020020275,2021-02-19,1,0,1,1,0,0,1,3,R,9653,0,827,0,0,204,2,1031,0,948,0,0,113,1,1076,0,885,1,0,108,3,993,1,957,0,0,210,4,1170,0,865,0,0,198,4,1063,0,784,0,0,111,2,910,0,608,1,4,236,2,869,0,1193,1,0,211,5,1404,0,955,1,0,139,4,1094,1,729,0,0,364,3,1111,0,2,6,1,28,02,32,0,10,5,6,21,02,17,0,8,3,6,12,02,26,0,15,9,4,23,02,9,0,4,6,5,13,02,30,0,2,6,3,21,02,12,1,6,1,8,11,02,29,0,10,4,13,19,02,17,1,8,4,7,26,02,29,0,6,5,12,17,02,20,1,4,1,10,12,02,32,1,6,10,7,21,02,11,1,6,1,3,13,02,27,1,8,8,15,18,02,10,1,8,2,11,16,02,24,1,8,13,10,24,02,7,1,8,4,9,15,02,32,1,2,16,12,27,02,14,0,2,7,7,33,02,32,1,8,13,20,22,02,15
2020020261,2021-02-17,1,0,0,1,0,1,1,2,R,9651,0,948,0,0,113,1,1076,0,885,1,0,108,3,993,1,957,0,0,210,4,1170,0,865,0,0,198,4,1063,0,784,0,0,111,2,910,0,608,1,4,236,2,869,0,1193,1,0,211,5,1404,0,955,1,0,139,4,1094,1,729,0,0,364,3,1111,0,926,0,0,229,1,1177,0,8,3,6,12,02,26,0,15,9,4,23,02,9,0,4,6,5,13,02,30,0,2,6,3,21,02,12,1,6,1,8,11,02,29,0,10,4,13,19,02,17,1,8,4,7,26,02,29,0,6,5,12,17,02,20,1,4,1,10,12,02,32,1,6,10,7,21,02,11,1,6,1,3,13,02,27,1,8,8,15,18,02,10,1,8,2,11,16,02,24,1,8,13,10,24,02,7,1,8,4,9,15,02,32,1,2,16,12,27,02,14,0,2,7,7,33,02,32,1,8,13,20,22,02,15,0,6,5,8,26,02,46,0,2,3,0,21,02,6
2020020246,2021-02-15,1,0,0,0,1,1,1,1,R,9649,0,885,1,0,108,3,993,1,957,0,0,210,4,1170,0,865,0,0,198,4,1063,0,784,0,0,111,2,910,0,608,1,4,236,2,869,0,1193,1,0,211,5,1404,0,955,1,0,139,4,1094,1,729,0,0,364,3,1111,0,926,0,0,229,1,1177,0,585,0,0,185,3,770,0,4,6,5,13,02,30,0,2,6,3,21,02,12,1,6,1,8,11,02,29,0,10,4,13,19,02,17,1,8,4,7,26,02,29,0,6,5,12,17,02,20,1,4,1,10,12,02,32,1,6,10,7,21,02,11,1,6,1,3,13,02,27,1,8,8,15,18,02,10,1,8,2,11,16,02,24,1,8,13,10,24,02,7,1,8,4,9,15,02,32,1,2,16,12,27,02,14,0,2,7,7,33,02,32,1,8,13,20,22,02,15,0,6,5,8,26,02,46,0,2,3,0,21,02,6,0,10,4,4,23,02,20,0,12,2,0,12,02,7
2020020234,2021-02-13,0,0,1,1,0,0,1,3,R,9647,1,957,0,0,210,4,1170,0,865,0,0,198,4,1063,0,784,0,0,111,2,910,0,608,1,4,236,2,869,0,1193,1,0,211,5,1404,0,955,1,0,139,4,1094,1,729,0,0,364,3,1111,0,926,0,0,229,1,1177,0,585,0,0,185,3,770,0,873,0,0,299,2,1185,1,6,1,8,11,02,29,0,10,4,13,19,02,17,1,8,4,7,26,02,29,0,6,5,12,17,02,20,1,4,1,10,12,02,32,1,6,10,7,21,02,11,1,6,1,3,13,02,27,1,8,8,15,18,02,10,1,8,2,11,16,02,24,1,8,13,10,24,02,7,1,8,4,9,15,02,32,1,2,16,12,27,02,14,0,2,7,7,33,02,32,1,8,13,20,22,02,15,0,6,5,8,26,02,46,0,2,3,0,21,02,6,0,10,4,4,23,02,20,0,12,2,0,12,02,7,0,4,3,10,21,02,35,0,8,10,5,19,02,7
2020020219,2021-02-11,0,1,1,1,0,0,0,4,R,9645,0,865,0,0,198,4,1063,0,784,0,0,111,2,910,0,608,1,4,236,2,869,0,1193,1,0,211,5,1404,0,955,1,0,139,4,1094,1,729,0,0,364,3,1111,0,926,0,0,229,1,1177,0,585,0,0,185,3,770,0,873,0,0,299,2,1185,0,871,1,0,105,2,989,1,8,4,7,26,02,29,0,6,5,12,17,02,20,1,4,1,10,12,02,32,1,6,10,7,21,02,11,1,6,1,3,13,02,27,1,8,8,15,18,02,10,1,8,2,11,16,02,24,1,8,13,10,24,02,7,1,8,4,9,15,02,32,1,2,16,12,27,02,14,0,2,7,7,33,02,32,1,8,13,20,22,02,15,0,6,5,8,26,02,46,0,2,3,0,21,02,6,0,10,4,4,23,02,20,0,12,2,0,12,02,7,0,4,3,10,21,02,35,0,8,10,5,19,02,7,1,11,4,7,16,02,23,0,8,0,3,20,02,10
2020020203,2021-02-09,0,1,1,1,0,0,0,4,R,9643,0,784,0,0,111,2,910,0,608,1,4,236,2,869,0,1193,1,0,211,5,1404,0,955,1,0,139,4,1094,1,729,0,0,364,3,1111,0,926,0,0,229,1,1177,0,585,0,0,185,3,770,0,873,0,0,299,2,1185,0,871,1,0,105,2,989,1,1088,0,0,99,4,1187,1,4,1,10,12,02,32,1,6,10,7,21,02,11,1,6,1,3,13,02,27,1,8,8,15,18,02,10,1,8,2,11,16,02,24,1,8,13,10,24,02,7,1,8,4,9,15,02,32,1,2,16,12,27,02,14,0,2,7,7,33,02,32,1,8,13,20,22,02,15,0,6,5,8,26,02,46,0,2,3,0,21,02,6,0,10,4,4,23,02,20,0,12,2,0,12,02,7,0,4,3,10,21,02,35,0,8,10,5,19,02,7,1,11,4,7,16,02,23,0,8,0,3,20,02,10,1,17,3,7,10,02,23,0,8,5,5,17,02,8
2020020175,2021-02-05,0,0,0,1,0,1,1,2,R,9639,0,608,1,4,236,2,869,0,1193,1,0,211,5,1404,0,955,1,0,139,4,1094,1,729,0,0,364,3,1111,0,926,0,0,229,1,1177,0,585,0,0,185,3,770,0,873,0,0,299,2,1185,0,871,1,0,105,2,989,1,1088,0,0,99,4,1187,1,943,0,0,104,1,1084,1,6,1,3,13,02,27,1,8,8,15,18,02,10,1,8,2,11,16,02,24,1,8,13,10,24,02,7,1,8,4,9,15,02,32,1,2,16,12,27,02,14,0,2,7,7,33,02,32,1,8,13,20,22,02,15,0,6,5,8,26,02,46,0,2,3,0,21,02,6,0,10,4,4,23,02,20,0,12,2,0,12,02,7,0,4,3,10,21,02,35,0,8,10,5,19,02,7,1,11,4,7,16,02,23,0,8,0,3,20,02,10,1,17,3,7,10,02,23,0,8,5,5,17,02,8,1,2,6,6,11,02,26,1,12,7,16,26,02,12
2020020160,2021-02-03,0,0,0,1,0,1,1,2,R,9637,0,1193,1,0,211,5,1404,0,955,1,0,139,4,1094,1,729,0,0,364,3,1111,0,926,0,0,229,1,1177,0,585,0,0,185,3,770,0,873,0,0,299,2,1185,0,871,1,0,105,2,989,1,1088,0,0,99,4,1187,1,943,0,0,104,1,1084,0,1001,0,0,138,1,1139,1,8,2,11,16,02,24,1,8,13,10,24,02,7,1,8,4,9,15,02,32,1,2,16,12,27,02,14,0,2,7,7,33,02,32,1,8,13,20,22,02,15,0,6,5,8,26,02,46,0,2,3,0,21,02,6,0,10,4,4,23,02,20,0,12,2,0,12,02,7,0,4,3,10,21,02,35,0,8,10,5,19,02,7,1,11,4,7,16,02,23,0,8,0,3,20,02,10,1,17,3,7,10,02,23,0,8,5,5,17,02,8,1,2,6,6,11,02,26,1,12,7,16,26,02,12,1,6,1,8,12,02,28,1,10,6,9,26,02,20
2020020139,2021-01-31,1,1,1,1,0,0,0,5,R,9634,0,955,1,0,139,4,1094,1,729,0,0,364,3,1111,0,926,0,0,229,1,1177,0,585,0,0,185,3,770,0,873,0,0,299,2,1185,0,871,1,0,105,2,989,1,1088,0,0,99,4,1187,1,943,0,0,104,1,1084,0,1001,0,0,138,1,1139,0,0,0,0,0,0,0,1,8,4,9,15,02,32,1,2,16,12,27,02,14,0,2,7,7,33,02,32,1,8,13,20,22,02,15,0,6,5,8,26,02,46,0,2,3,0,21,02,6,0,10,4,4,23,02,20,0,12,2,0,12,02,7,0,4,3,10,21,02,35,0,8,10,5,19,02,7,1,11,4,7,16,02,23,0,8,0,3,20,02,10,1,17,3,7,10,02,23,0,8,5,5,17,02,8,1,2,6,6,11,02,26,1,12,7,16,26,02,12,1,6,1,8,12,02,28,1,10,6,9,26,02,20,1,8,3,3,16,02,21,1,2,4,10,21,02,13
2020020130,2021-01-30,1,1,1,1,0,0,0,4,R,9633,1,729,0,0,364,3,1111,0,926,0,0,229,1,1177,0,585,0,0,185,3,770,0,873,0,0,299,2,1185,0,871,1,0,105,2,989,1,1088,0,0,99,4,1187,1,943,0,0,104,1,1084,0,1001,0,0,138,1,1139,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,7,7,33,02,32,1,8,13,20,22,02,15,0,6,5,8,26,02,46,0,2,3,0,21,02,6,0,10,4,4,23,02,20,0,12,2,0,12,02,7,0,4,3,10,21,02,35,0,8,10,5,19,02,7,1,11,4,7,16,02,23,0,8,0,3,20,02,10,1,17,3,7,10,02,23,0,8,5,5,17,02,8,1,2,6,6,11,02,26,1,12,7,16,26,02,12,1,6,1,8,12,02,28,1,10,6,9,26,02,20,1,8,3,3,16,02,21,1,2,4,10,21,02,13,1,0,0,0,0,02,0,1,2,3,9,24,02,13
2020020119,2021-01-28,0,0,1,1,0,0,1,3,R,9631,0,926,0,0,229,1,1177,0,585,0,0,185,3,770,0,873,0,0,299,2,1185,0,871,1,0,105,2,989,1,1088,0,0,99,4,1187,1,943,0,0,104,1,1084,0,1001,0,0,138,1,1139,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,5,8,26,02,46,0,2,3,0,21,02,6,0,10,4,4,23,02,20,0,12,2,0,12,02,7,0,4,3,10,21,02,35,0,8,10,5,19,02,7,1,11,4,7,16,02,23,0,8,0,3,20,02,10,1,17,3,7,10,02,23,0,8,5,5,17,02,8,1,2,6,6,11,02,26,1,12,7,16,26,02,12,1,6,1,8,12,02,28,1,10,6,9,26,02,20,1,8,3,3,16,02,21,1,2,4,10,21,02,13,1,0,0,0,0,02,0,1,2,3,9,24,02,13,0,0,0,0,0,02,0,1,0,0,0,0,02,0
2020020103,2021-01-26,0,0,0,0,1,1,1,1,R,9629,0,585,0,0,185,3,770,0,873,0,0,299,2,1185,0,871,1,0,105,2,989,1,1088,0,0,99,4,1187,1,943,0,0,104,1,1084,0,1001,0,0,138,1,1139,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,4,4,23,02,20,0,12,2,0,12,02,7,0,4,3,10,21,02,35,0,8,10,5,19,02,7,1,11,4,7,16,02,23,0,8,0,3,20,02,10,1,17,3,7,10,02,23,0,8,5,5,17,02,8,1,2,6,6,11,02,26,1,12,7,16,26,02,12,1,6,1,8,12,02,28,1,10,6,9,26,02,20,1,8,3,3,16,02,21,1,2,4,10,21,02,13,1,0,0,0,0,02,0,1,2,3,9,24,02,13,0,0,0,0,0,02,0,1,0,0,0,0,02,0,0,0,0,0,0,02,0,0,0,0,0,0,02,0
