game_id,game_date,is_home_game,shots_this_game_O3.5,shots_this_game_O2.5,shots_this_game_O1.5,shots_this_game_U1.5,shots_this_game_U2.5,shots_this_game_U3.5,shots_this_game_total,primary_position,days_old,assists-1-games_back,evenTimeOnIce-1-games_back,goals-1-games_back,penaltyMinutes-1-games_back,powerPlayTimeOnIce-1-games_back,shots-1-games_back,timeOnIce-1-games_back,assists-2-games_back,evenTimeOnIce-2-games_back,goals-2-games_back,penaltyMinutes-2-games_back,powerPlayTimeOnIce-2-games_back,shots-2-games_back,timeOnIce-2-games_back,assists-3-games_back,evenTimeOnIce-3-games_back,goals-3-games_back,penaltyMinutes-3-games_back,powerPlayTimeOnIce-3-games_back,shots-3-games_back,timeOnIce-3-games_back,assists-4-games_back,evenTimeOnIce-4-games_back,goals-4-games_back,penaltyMinutes-4-games_back,powerPlayTimeOnIce-4-games_back,shots-4-games_back,timeOnIce-4-games_back,assists-5-games_back,evenTimeOnIce-5-games_back,goals-5-games_back,penaltyMinutes-5-games_back,powerPlayTimeOnIce-5-games_back,shots-5-games_back,timeOnIce-5-games_back,assists-6-games_back,evenTimeOnIce-6-games_back,goals-6-games_back,penaltyMinutes-6-games_back,powerPlayTimeOnIce-6-games_back,shots-6-games_back,timeOnIce-6-games_back,assists-7-games_back,evenTimeOnIce-7-games_back,goals-7-games_back,penaltyMinutes-7-games_back,powerPlayTimeOnIce-7-games_back,shots-7-games_back,timeOnIce-7-games_back,assists-8-games_back,evenTimeOnIce-8-games_back,goals-8-games_back,penaltyMinutes-8-games_back,powerPlayTimeOnIce-8-games_back,shots-8-games_back,timeOnIce-8-games_back,assists-9-games_back,evenTimeOnIce-9-games_back,goals-9-games_back,penaltyMinutes-9-games_back,powerPlayTimeOnIce-9-games_back,shots-9-games_back,timeOnIce-9-games_back,assists-10-games_back,evenTimeOnIce-10-games_back,goals-10-games_back,penaltyMinutes-10-games_back,powerPlayTimeOnIce-10-games_back,shots-10-games_back,timeOnIce-10-games_back,home-ply-1-games_back,pim-ply-1-games_back,takeaways-ply-1-games_back,giveaways-ply-1-games_back,hits-ply-1-games_back,game_type-ply-1-games_back,shots-ply-1-games_back,home-opp-1-games_back,pim-opp-1-games_back,takeaways-opp-1-games_back,giveaways-opp-1-games_back,hits-opp-1-games_back,game_type-opp-1-games_back,blocked-opp-1-games_back,home-ply-2-games_back,pim-ply-2-games_back,takeaways-ply-2-games_back,giveaways-ply-2-games_back,hits-ply-2-games_back,game_type-ply-2-games_back,shots-ply-2-games_back,home-opp-2-games_back,pim-opp-2-games_back,takeaways-opp-2-games_back,giveaways-opp-2-games_back,hits-opp-2-games_back,game_type-opp-2-games_back,blocked-opp-2-games_back,home-ply-3-games_back,pim-ply-3-games_back,takeaways-ply-3-games_back,giveaways-ply-3-games_back,hits-ply-3-games_back,game_type-ply-3-games_back,shots-ply-3-games_back,home-opp-3-games_back,pim-opp-3-games_back,takeaways-opp-3-games_back,giveaways-opp-3-games_back,hits-opp-3-games_back,game_type-opp-3-games_back,blocked-opp-3-games_back,home-ply-4-games_back,pim-ply-4-games_back,takeaways-ply-4-games_back,giveaways-ply-4-games_back,hits-ply-4-games_back,game_type-ply-4-games_back,shots-ply-4-games_back,home-opp-4-games_back,pim-opp-4-games_back,takeaways-opp-4-games_back,giveaways-opp-4-games_back,hits-opp-4-games_back,game_type-opp-4-games_back,blocked-opp-4-games_back,home-ply-5-games_back,pim-ply-5-games_back,takeaways-ply-5-games_back,giveaways-ply-5-games_back,hits-ply-5-games_back,game_type-ply-5-games_back,shots-ply-5-games_back,home-opp-5-games_back,pim-opp-5-games_back,takeaways-opp-5-games_back,giveaways-opp-5-games_back,hits-opp-5-games_back,game_type-opp-5-games_back,blocked-opp-5-games_back,home-ply-6-games_back,pim-ply-6-games_back,takeaways-ply-6-games_back,giveaways-ply-6-games_back,hits-ply-6-games_back,game_type-ply-6-games_back,shots-ply-6-games_back,home-opp-6-games_back,pim-opp-6-games_back,takeaways-opp-6-games_back,giveaways-opp-6-games_back,hits-opp-6-games_back,game_type-opp-6-games_back,blocked-opp-6-games_back,home-ply-7-games_back,pim-ply-7-games_back,takeaways-ply-7-games_back,giveaways-ply-7-games_back,hits-ply-7-games_back,game_type-ply-7-games_back,shots-ply-7-games_back,home-opp-7-games_back,pim-opp-7-games_back,takeaways-opp-7-games_back,giveaways-opp-7-games_back,hits-opp-7-games_back,game_type-opp-7-games_back,blocked-opp-7-games_back,home-ply-8-games_back,pim-ply-8-games_back,takeaways-ply-8-games_back,giveaways-ply-8-games_back,hits-ply-8-games_back,game_type-ply-8-games_back,shots-ply-8-games_back,home-opp-8-games_back,pim-opp-8-games_back,takeaways-opp-8-games_back,giveaways-opp-8-games_back,hits-opp-8-games_back,game_type-opp-8-games_back,blocked-opp-8-games_back,home-ply-9-games_back,pim-ply-9-games_back,takeaways-ply-9-games_back,giveaways-ply-9-games_back,hits-ply-9-games_back,game_type-ply-9-games_back,shots-ply-9-games_back,home-opp-9-games_back,pim-opp-9-games_back,takeaways-opp-9-games_back,giveaways-opp-9-games_back,hits-opp-9-games_back,game_type-opp-9-games_back,blocked-opp-9-games_back,home-ply-10-games_back,pim-ply-10-games_back,takeaways-ply-10-games_back,giveaways-ply-10-games_back,hits-ply-10-games_back,game_type-ply-10-games_back,shots-ply-10-games_back,home-opp-10-games_back,pim-opp-10-games_back,takeaways-opp-10-games_back,giveaways-opp-10-games_back,hits-opp-10-games_back,game_type-opp-10-games_back,blocked-opp-10-games_back
2020020476,2021-03-18,1,0,1,1,0,0,1,3,L,10179,0,876,0,0,133,1,1015,0,995,0,0,153,3,1157,0,1023,0,0,17,7,1040,0,730,0,0,218,2,958,1,1115,2,0,36,2,1151,2,1224,1,0,85,5,1309,1,1083,0,0,55,4,1138,0,983,1,0,148,3,1131,2,859,0,0,253,4,1112,1,914,1,0,102,4,1016,0,2,4,3,23,02,22,0,4,3,9,22,03,4,1,12,4,5,26,02,27,1,10,2,7,18,03,13,1,8,6,11,21,02,24,1,6,5,13,22,03,21,1,8,6,10,19,02,38,1,8,4,16,28,03,15,1,8,6,10,32,02,15,0,6,3,17,28,03,8,0,6,4,3,23,02,24,0,10,3,16,26,03,13,0,12,4,10,18,02,16,1,4,7,18,22,03,19,1,11,4,16,26,02,24,1,6,11,17,41,03,12,1,4,5,16,31,02,26,1,8,3,12,29,03,4,0,7,2,2,20,02,43,0,10,8,12,72,03,25
2020020568,2021-03-16,0,0,0,0,1,1,1,1,L,10177,0,995,0,0,153,3,1157,0,1023,0,0,17,7,1040,0,730,0,0,218,2,958,1,1115,2,0,36,2,1151,2,1224,1,0,85,5,1309,1,1083,0,0,55,4,1138,0,983,1,0,148,3,1131,2,859,0,0,253,4,1112,1,914,1,0,102,4,1016,0,939,0,0,128,1,1067,1,12,4,5,26,02,27,1,10,2,7,18,03,13,1,8,6,11,21,02,24,1,6,5,13,22,03,21,1,8,6,10,19,02,38,1,8,4,16,28,03,15,1,8,6,10,32,02,15,0,6,3,17,28,03,8,0,6,4,3,23,02,24,0,10,3,16,26,03,13,0,12,4,10,18,02,16,1,4,7,18,22,03,19,1,11,4,16,26,02,24,1,6,11,17,41,03,12,1,4,5,16,31,02,26,1,8,3,12,29,03,4,0,7,2,2,20,02,43,0,10,8,12,72,03,25,1,6,3,13,17,02,37,0,14,7,12,36,03,10
2020020441,2021-03-13,1,0,1,1,0,0,1,3,L,10174,0,1023,0,0,17,7,1040,0,730,0,0,218,2,958,1,1115,2,0,36,2,1151,2,1224,1,0,85,5,1309,1,1083,0,0,55,4,1138,0,983,1,0,148,3,1131,2,859,0,0,253,4,1112,1,914,1,0,102,4,1016,0,939,0,0,128,1,1067,0,997,0,2,289,6,1286,1,8,6,11,21,02,24,1,6,5,13,22,03,21,1,8,6,10,19,02,38,1,8,4,16,28,03,15,1,8,6,10,32,02,15,0,6,3,17,28,03,8,0,6,4,3,23,02,24,0,10,3,16,26,03,13,0,12,4,10,18,02,16,1,4,7,18,22,03,19,1,11,4,16,26,02,24,1,6,11,17,41,03,12,1,4,5,16,31,02,26,1,8,3,12,29,03,4,0,7,2,2,20,02,43,0,10,8,12,72,03,25,1,6,3,13,17,02,37,0,14,7,12,36,03,10,1,6,5,12,31,02,33,1,18,1,21,31,03,24
2020020429,2021-03-12,1,1,1,1,0,0,0,7,L,10173,0,730,0,0,218,2,958,1,1115,2,0,36,2,1151,2,1224,1,0,85,5,1309,1,1083,0,0,55,4,1138,0,983,1,0,148,3,1131,2,859,0,0,253,4,1112,1,914,1,0,102,4,1016,0,939,0,0,128,1,1067,0,997,0,2,289,6,1286,0,860,0,0,176,3,1036,1,8,6,10,19,02,38,1,8,4,16,28,03,15,1,8,6,10,32,02,15,0,6,3,17,28,03,8,0,6,4,3,23,02,24,0,10,3,16,26,03,13,0,12,4,10,18,02,16,1,4,7,18,22,03,19,1,11,4,16,26,02,24,1,6,11,17,41,03,12,1,4,5,16,31,02,26,1,8,3,12,29,03,4,0,7,2,2,20,02,43,0,10,8,12,72,03,25,1,6,3,13,17,02,37,0,14,7,12,36,03,10,1,6,5,12,31,02,33,1,18,1,21,31,03,24,0,7,15,2,17,02,23,0,12,6,15,28,03,18
2020020414,2021-03-10,1,0,0,1,0,1,1,2,L,10171,1,1115,2,0,36,2,1151,2,1224,1,0,85,5,1309,1,1083,0,0,55,4,1138,0,983,1,0,148,3,1131,2,859,0,0,253,4,1112,1,914,1,0,102,4,1016,0,939,0,0,128,1,1067,0,997,0,2,289,6,1286,0,860,0,0,176,3,1036,0,1029,0,0,120,0,1153,1,8,6,10,32,02,15,0,6,3,17,28,03,8,0,6,4,3,23,02,24,0,10,3,16,26,03,13,0,12,4,10,18,02,16,1,4,7,18,22,03,19,1,11,4,16,26,02,24,1,6,11,17,41,03,12,1,4,5,16,31,02,26,1,8,3,12,29,03,4,0,7,2,2,20,02,43,0,10,8,12,72,03,25,1,6,3,13,17,02,37,0,14,7,12,36,03,10,1,6,5,12,31,02,33,1,18,1,21,31,03,24,0,7,15,2,17,02,23,0,12,6,15,28,03,18,0,4,11,3,39,02,28,1,4,8,21,32,03,22
2020020400,2021-03-08,1,0,0,1,0,1,1,2,L,10169,2,1224,1,0,85,5,1309,1,1083,0,0,55,4,1138,0,983,1,0,148,3,1131,2,859,0,0,253,4,1112,1,914,1,0,102,4,1016,0,939,0,0,128,1,1067,0,997,0,2,289,6,1286,0,860,0,0,176,3,1036,0,1029,0,0,120,0,1153,1,1127,0,0,26,2,1153,0,6,4,3,23,02,24,0,10,3,16,26,03,13,0,12,4,10,18,02,16,1,4,7,18,22,03,19,1,11,4,16,26,02,24,1,6,11,17,41,03,12,1,4,5,16,31,02,26,1,8,3,12,29,03,4,0,7,2,2,20,02,43,0,10,8,12,72,03,25,1,6,3,13,17,02,37,0,14,7,12,36,03,10,1,6,5,12,31,02,33,1,18,1,21,31,03,24,0,7,15,2,17,02,23,0,12,6,15,28,03,18,0,4,11,3,39,02,28,1,4,8,21,32,03,22,0,4,5,7,15,02,28,1,4,6,7,21,02,11
2020020386,2021-03-06,0,1,1,1,0,0,0,5,L,10167,1,1083,0,0,55,4,1138,0,983,1,0,148,3,1131,2,859,0,0,253,4,1112,1,914,1,0,102,4,1016,0,939,0,0,128,1,1067,0,997,0,2,289,6,1286,0,860,0,0,176,3,1036,0,1029,0,0,120,0,1153,1,1127,0,0,26,2,1153,1,889,0,0,164,2,1053,0,12,4,10,18,02,16,1,4,7,18,22,03,19,1,11,4,16,26,02,24,1,6,11,17,41,03,12,1,4,5,16,31,02,26,1,8,3,12,29,03,4,0,7,2,2,20,02,43,0,10,8,12,72,03,25,1,6,3,13,17,02,37,0,14,7,12,36,03,10,1,6,5,12,31,02,33,1,18,1,21,31,03,24,0,7,15,2,17,02,23,0,12,6,15,28,03,18,0,4,11,3,39,02,28,1,4,8,21,32,03,22,0,4,5,7,15,02,28,1,4,6,7,21,02,11,1,12,6,9,19,02,17,1,10,16,2,21,02,10
2020020377,2021-03-05,0,1,1,1,0,0,0,4,L,10166,0,983,1,0,148,3,1131,2,859,0,0,253,4,1112,1,914,1,0,102,4,1016,0,939,0,0,128,1,1067,0,997,0,2,289,6,1286,0,860,0,0,176,3,1036,0,1029,0,0,120,0,1153,1,1127,0,0,26,2,1153,1,889,0,0,164,2,1053,1,1026,0,0,126,4,1162,1,11,4,16,26,02,24,1,6,11,17,41,03,12,1,4,5,16,31,02,26,1,8,3,12,29,03,4,0,7,2,2,20,02,43,0,10,8,12,72,03,25,1,6,3,13,17,02,37,0,14,7,12,36,03,10,1,6,5,12,31,02,33,1,18,1,21,31,03,24,0,7,15,2,17,02,23,0,12,6,15,28,03,18,0,4,11,3,39,02,28,1,4,8,21,32,03,22,0,4,5,7,15,02,28,1,4,6,7,21,02,11,1,12,6,9,19,02,17,1,10,16,2,21,02,10,1,6,4,11,26,02,27,0,6,2,4,12,02,14
2020020362,2021-03-03,1,0,1,1,0,0,1,3,L,10164,2,859,0,0,253,4,1112,1,914,1,0,102,4,1016,0,939,0,0,128,1,1067,0,997,0,2,289,6,1286,0,860,0,0,176,3,1036,0,1029,0,0,120,0,1153,1,1127,0,0,26,2,1153,1,889,0,0,164,2,1053,1,1026,0,0,126,4,1162,0,1155,0,0,183,6,1338,1,4,5,16,31,02,26,1,8,3,12,29,03,4,0,7,2,2,20,02,43,0,10,8,12,72,03,25,1,6,3,13,17,02,37,0,14,7,12,36,03,10,1,6,5,12,31,02,33,1,18,1,21,31,03,24,0,7,15,2,17,02,23,0,12,6,15,28,03,18,0,4,11,3,39,02,28,1,4,8,21,32,03,22,0,4,5,7,15,02,28,1,4,6,7,21,02,11,1,12,6,9,19,02,17,1,10,16,2,21,02,10,1,6,4,11,26,02,27,0,6,2,4,12,02,14,0,22,4,10,25,02,28,0,10,0,5,14,02,15
2020020352,2021-03-01,1,1,1,1,0,0,0,4,L,10162,1,914,1,0,102,4,1016,0,939,0,0,128,1,1067,0,997,0,2,289,6,1286,0,860,0,0,176,3,1036,0,1029,0,0,120,0,1153,1,1127,0,0,26,2,1153,1,889,0,0,164,2,1053,1,1026,0,0,126,4,1162,0,1155,0,0,183,6,1338,1,1004,0,0,241,1,1253,0,7,2,2,20,02,43,0,10,8,12,72,03,25,1,6,3,13,17,02,37,0,14,7,12,36,03,10,1,6,5,12,31,02,33,1,18,1,21,31,03,24,0,7,15,2,17,02,23,0,12,6,15,28,03,18,0,4,11,3,39,02,28,1,4,8,21,32,03,22,0,4,5,7,15,02,28,1,4,6,7,21,02,11,1,12,6,9,19,02,17,1,10,16,2,21,02,10,1,6,4,11,26,02,27,0,6,2,4,12,02,14,0,22,4,10,25,02,28,0,10,0,5,14,02,15,0,6,2,5,33,02,35,1,20,6,4,12,02,6
2020020338,2021-02-27,1,1,1,1,0,0,0,4,L,10160,0,939,0,0,128,1,1067,0,997,0,2,289,6,1286,0,860,0,0,176,3,1036,0,1029,0,0,120,0,1153,1,1127,0,0,26,2,1153,1,889,0,0,164,2,1053,1,1026,0,0,126,4,1162,0,1155,0,0,183,6,1338,1,1004,0,0,241,1,1253,0,983,0,0,84,2,1067,1,6,3,13,17,02,37,0,14,7,12,36,03,10,1,6,5,12,31,02,33,1,18,1,21,31,03,24,0,7,15,2,17,02,23,0,12,6,15,28,03,18,0,4,11,3,39,02,28,1,4,8,21,32,03,22,0,4,5,7,15,02,28,1,4,6,7,21,02,11,1,12,6,9,19,02,17,1,10,16,2,21,02,10,1,6,4,11,26,02,27,0,6,2,4,12,02,14,0,22,4,10,25,02,28,0,10,0,5,14,02,15,0,6,2,5,33,02,35,1,20,6,4,12,02,6,1,6,6,10,32,02,30,1,8,6,4,12,02,15
2020020311,2021-02-24,0,0,0,0,1,1,1,1,L,10157,0,997,0,2,289,6,1286,0,860,0,0,176,3,1036,0,1029,0,0,120,0,1153,1,1127,0,0,26,2,1153,1,889,0,0,164,2,1053,1,1026,0,0,126,4,1162,0,1155,0,0,183,6,1338,1,1004,0,0,241,1,1253,0,983,0,0,84,2,1067,0,1085,0,0,40,5,1125,1,6,5,12,31,02,33,1,18,1,21,31,03,24,0,7,15,2,17,02,23,0,12,6,15,28,03,18,0,4,11,3,39,02,28,1,4,8,21,32,03,22,0,4,5,7,15,02,28,1,4,6,7,21,02,11,1,12,6,9,19,02,17,1,10,16,2,21,02,10,1,6,4,11,26,02,27,0,6,2,4,12,02,14,0,22,4,10,25,02,28,0,10,0,5,14,02,15,0,6,2,5,33,02,35,1,20,6,4,12,02,6,1,6,6,10,32,02,30,1,8,6,4,12,02,15,1,6,3,14,32,02,33,0,4,5,3,5,02,4
2020020300,2021-02-22,0,1,1,1,0,0,0,6,L,10155,0,860,0,0,176,3,1036,0,1029,0,0,120,0,1153,1,1127,0,0,26,2,1153,1,889,0,0,164,2,1053,1,1026,0,0,126,4,1162,0,1155,0,0,183,6,1338,1,1004,0,0,241,1,1253,0,983,0,0,84,2,1067,0,1085,0,0,40,5,1125,1,949,0,2,164,5,1113,0,7,15,2,17,02,23,0,12,6,15,28,03,18,0,4,11,3,39,02,28,1,4,8,21,32,03,22,0,4,5,7,15,02,28,1,4,6,7,21,02,11,1,12,6,9,19,02,17,1,10,16,2,21,02,10,1,6,4,11,26,02,27,0,6,2,4,12,02,14,0,22,4,10,25,02,28,0,10,0,5,14,02,15,0,6,2,5,33,02,35,1,20,6,4,12,02,6,1,6,6,10,32,02,30,1,8,6,4,12,02,15,1,6,3,14,32,02,33,0,4,5,3,5,02,4,1,6,5,8,31,02,29,0,6,2,0,9,02,8
2020020289,2021-02-20,1,0,1,1,0,0,1,3,L,10153,0,1029,0,0,120,0,1153,1,1127,0,0,26,2,1153,1,889,0,0,164,2,1053,1,1026,0,0,126,4,1162,0,1155,0,0,183,6,1338,1,1004,0,0,241,1,1253,0,983,0,0,84,2,1067,0,1085,0,0,40,5,1125,1,949,0,2,164,5,1113,0,1226,0,0,65,2,1291,0,4,11,3,39,02,28,1,4,8,21,32,03,22,0,4,5,7,15,02,28,1,4,6,7,21,02,11,1,12,6,9,19,02,17,1,10,16,2,21,02,10,1,6,4,11,26,02,27,0,6,2,4,12,02,14,0,22,4,10,25,02,28,0,10,0,5,14,02,15,0,6,2,5,33,02,35,1,20,6,4,12,02,6,1,6,6,10,32,02,30,1,8,6,4,12,02,15,1,6,3,14,32,02,33,0,4,5,3,5,02,4,1,6,5,8,31,02,29,0,6,2,0,9,02,8,0,6,6,5,18,02,28,1,11,5,8,17,02,14
2020020273,2021-02-18,1,0,0,0,1,1,1,0,L,10151,1,1127,0,0,26,2,1153,1,889,0,0,164,2,1053,1,1026,0,0,126,4,1162,0,1155,0,0,183,6,1338,1,1004,0,0,241,1,1253,0,983,0,0,84,2,1067,0,1085,0,0,40,5,1125,1,949,0,2,164,5,1113,0,1226,0,0,65,2,1291,0,754,0,0,62,3,816,0,4,5,7,15,02,28,1,4,6,7,21,02,11,1,12,6,9,19,02,17,1,10,16,2,21,02,10,1,6,4,11,26,02,27,0,6,2,4,12,02,14,0,22,4,10,25,02,28,0,10,0,5,14,02,15,0,6,2,5,33,02,35,1,20,6,4,12,02,6,1,6,6,10,32,02,30,1,8,6,4,12,02,15,1,6,3,14,32,02,33,0,4,5,3,5,02,4,1,6,5,8,31,02,29,0,6,2,0,9,02,8,0,6,6,5,18,02,28,1,11,5,8,17,02,14,0,6,9,3,20,02,27,0,6,10,4,33,02,19
2020020252,2021-02-15,0,0,0,1,0,1,1,2,L,10148,1,889,0,0,164,2,1053,1,1026,0,0,126,4,1162,0,1155,0,0,183,6,1338,1,1004,0,0,241,1,1253,0,983,0,0,84,2,1067,0,1085,0,0,40,5,1125,1,949,0,2,164,5,1113,0,1226,0,0,65,2,1291,0,754,0,0,62,3,816,0,803,1,0,195,2,998,1,12,6,9,19,02,17,1,10,16,2,21,02,10,1,6,4,11,26,02,27,0,6,2,4,12,02,14,0,22,4,10,25,02,28,0,10,0,5,14,02,15,0,6,2,5,33,02,35,1,20,6,4,12,02,6,1,6,6,10,32,02,30,1,8,6,4,12,02,15,1,6,3,14,32,02,33,0,4,5,3,5,02,4,1,6,5,8,31,02,29,0,6,2,0,9,02,8,0,6,6,5,18,02,28,1,11,5,8,17,02,14,0,6,9,3,20,02,27,0,6,10,4,33,02,19,1,8,9,10,26,02,25,0,9,2,2,10,02,22
2020020226,2021-02-11,0,0,0,1,0,1,1,2,L,10144,1,1026,0,0,126,4,1162,0,1155,0,0,183,6,1338,1,1004,0,0,241,1,1253,0,983,0,0,84,2,1067,0,1085,0,0,40,5,1125,1,949,0,2,164,5,1113,0,1226,0,0,65,2,1291,0,754,0,0,62,3,816,0,803,1,0,195,2,998,1,797,0,0,337,6,1134,1,6,4,11,26,02,27,0,6,2,4,12,02,14,0,22,4,10,25,02,28,0,10,0,5,14,02,15,0,6,2,5,33,02,35,1,20,6,4,12,02,6,1,6,6,10,32,02,30,1,8,6,4,12,02,15,1,6,3,14,32,02,33,0,4,5,3,5,02,4,1,6,5,8,31,02,29,0,6,2,0,9,02,8,0,6,6,5,18,02,28,1,11,5,8,17,02,14,0,6,9,3,20,02,27,0,6,10,4,33,02,19,1,8,9,10,26,02,25,0,9,2,2,10,02,22,1,8,2,19,20,02,34,1,10,8,7,15,02,14
2020020210,2021-02-09,0,1,1,1,0,0,0,4,L,10142,0,1155,0,0,183,6,1338,1,1004,0,0,241,1,1253,0,983,0,0,84,2,1067,0,1085,0,0,40,5,1125,1,949,0,2,164,5,1113,0,1226,0,0,65,2,1291,0,754,0,0,62,3,816,0,803,1,0,195,2,998,1,797,0,0,337,6,1134,0,1012,0,0,94,1,1106,0,22,4,10,25,02,28,0,10,0,5,14,02,15,0,6,2,5,33,02,35,1,20,6,4,12,02,6,1,6,6,10,32,02,30,1,8,6,4,12,02,15,1,6,3,14,32,02,33,0,4,5,3,5,02,4,1,6,5,8,31,02,29,0,6,2,0,9,02,8,0,6,6,5,18,02,28,1,11,5,8,17,02,14,0,6,9,3,20,02,27,0,6,10,4,33,02,19,1,8,9,10,26,02,25,0,9,2,2,10,02,22,1,8,2,19,20,02,34,1,10,8,7,15,02,14,1,9,4,12,26,02,34,1,8,8,9,12,02,11
2020020187,2021-02-06,1,1,1,1,0,0,0,6,L,10139,1,1004,0,0,241,1,1253,0,983,0,0,84,2,1067,0,1085,0,0,40,5,1125,1,949,0,2,164,5,1113,0,1226,0,0,65,2,1291,0,754,0,0,62,3,816,0,803,1,0,195,2,998,1,797,0,0,337,6,1134,0,1012,0,0,94,1,1106,0,816,0,0,115,3,931,0,6,2,5,33,02,35,1,20,6,4,12,02,6,1,6,6,10,32,02,30,1,8,6,4,12,02,15,1,6,3,14,32,02,33,0,4,5,3,5,02,4,1,6,5,8,31,02,29,0,6,2,0,9,02,8,0,6,6,5,18,02,28,1,11,5,8,17,02,14,0,6,9,3,20,02,27,0,6,10,4,33,02,19,1,8,9,10,26,02,25,0,9,2,2,10,02,22,1,8,2,19,20,02,34,1,10,8,7,15,02,14,1,9,4,12,26,02,34,1,8,8,9,12,02,11,1,8,5,12,30,02,27,1,4,3,6,13,02,7
2020020178,2021-02-05,1,0,0,0,1,1,1,1,L,10138,0,983,0,0,84,2,1067,0,1085,0,0,40,5,1125,1,949,0,2,164,5,1113,0,1226,0,0,65,2,1291,0,754,0,0,62,3,816,0,803,1,0,195,2,998,1,797,0,0,337,6,1134,0,1012,0,0,94,1,1106,0,816,0,0,115,3,931,0,982,0,0,120,5,1102,1,6,6,10,32,02,30,1,8,6,4,12,02,15,1,6,3,14,32,02,33,0,4,5,3,5,02,4,1,6,5,8,31,02,29,0,6,2,0,9,02,8,0,6,6,5,18,02,28,1,11,5,8,17,02,14,0,6,9,3,20,02,27,0,6,10,4,33,02,19,1,8,9,10,26,02,25,0,9,2,2,10,02,22,1,8,2,19,20,02,34,1,10,8,7,15,02,14,1,9,4,12,26,02,34,1,8,8,9,12,02,11,1,8,5,12,30,02,27,1,4,3,6,13,02,7,0,8,6,7,19,02,22,0,11,5,4,23,02,12
2020020161,2021-02-02,0,0,0,1,0,1,1,2,L,10135,0,1085,0,0,40,5,1125,1,949,0,2,164,5,1113,0,1226,0,0,65,2,1291,0,754,0,0,62,3,816,0,803,1,0,195,2,998,1,797,0,0,337,6,1134,0,1012,0,0,94,1,1106,0,816,0,0,115,3,931,0,982,0,0,120,5,1102,0,945,0,0,63,2,1008,1,6,3,14,32,02,33,0,4,5,3,5,02,4,1,6,5,8,31,02,29,0,6,2,0,9,02,8,0,6,6,5,18,02,28,1,11,5,8,17,02,14,0,6,9,3,20,02,27,0,6,10,4,33,02,19,1,8,9,10,26,02,25,0,9,2,2,10,02,22,1,8,2,19,20,02,34,1,10,8,7,15,02,14,1,9,4,12,26,02,34,1,8,8,9,12,02,11,1,8,5,12,30,02,27,1,4,3,6,13,02,7,0,8,6,7,19,02,22,0,11,5,4,23,02,12,1,8,2,13,21,02,31,0,4,5,5,19,02,5
2020020143,2021-01-31,1,1,1,1,0,0,0,5,L,10133,1,949,0,2,164,5,1113,0,1226,0,0,65,2,1291,0,754,0,0,62,3,816,0,803,1,0,195,2,998,1,797,0,0,337,6,1134,0,1012,0,0,94,1,1106,0,816,0,0,115,3,931,0,982,0,0,120,5,1102,0,945,0,0,63,2,1008,0,0,0,0,0,0,0,1,6,5,8,31,02,29,0,6,2,0,9,02,8,0,6,6,5,18,02,28,1,11,5,8,17,02,14,0,6,9,3,20,02,27,0,6,10,4,33,02,19,1,8,9,10,26,02,25,0,9,2,2,10,02,22,1,8,2,19,20,02,34,1,10,8,7,15,02,14,1,9,4,12,26,02,34,1,8,8,9,12,02,11,1,8,5,12,30,02,27,1,4,3,6,13,02,7,0,8,6,7,19,02,22,0,11,5,4,23,02,12,1,8,2,13,21,02,31,0,4,5,5,19,02,5,1,0,0,0,0,02,0,0,8,11,8,21,02,9
2020020135,2021-01-30,1,1,1,1,0,0,0,5,L,10132,0,1226,0,0,65,2,1291,0,754,0,0,62,3,816,0,803,1,0,195,2,998,1,797,0,0,337,6,1134,0,1012,0,0,94,1,1106,0,816,0,0,115,3,931,0,982,0,0,120,5,1102,0,945,0,0,63,2,1008,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,6,5,18,02,28,1,11,5,8,17,02,14,0,6,9,3,20,02,27,0,6,10,4,33,02,19,1,8,9,10,26,02,25,0,9,2,2,10,02,22,1,8,2,19,20,02,34,1,10,8,7,15,02,14,1,9,4,12,26,02,34,1,8,8,9,12,02,11,1,8,5,12,30,02,27,1,4,3,6,13,02,7,0,8,6,7,19,02,22,0,11,5,4,23,02,12,1,8,2,13,21,02,31,0,4,5,5,19,02,5,1,0,0,0,0,02,0,0,8,11,8,21,02,9,0,0,0,0,0,02,0,0,6,10,8,15,02,10
2020020121,2021-01-28,0,0,0,1,0,1,1,2,L,10130,0,754,0,0,62,3,816,0,803,1,0,195,2,998,1,797,0,0,337,6,1134,0,1012,0,0,94,1,1106,0,816,0,0,115,3,931,0,982,0,0,120,5,1102,0,945,0,0,63,2,1008,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,9,3,20,02,27,0,6,10,4,33,02,19,1,8,9,10,26,02,25,0,9,2,2,10,02,22,1,8,2,19,20,02,34,1,10,8,7,15,02,14,1,9,4,12,26,02,34,1,8,8,9,12,02,11,1,8,5,12,30,02,27,1,4,3,6,13,02,7,0,8,6,7,19,02,22,0,11,5,4,23,02,12,1,8,2,13,21,02,31,0,4,5,5,19,02,5,1,0,0,0,0,02,0,0,8,11,8,21,02,9,0,0,0,0,0,02,0,0,6,10,8,15,02,10,0,0,0,0,0,02,0,1,4,7,8,20,02,10
